ID,Location,Age,Gender,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,B8,B9
1,5,21,1,3,4,6,6,6,0,0,1,0,0,1,1,0,0
2,5,34,2,1,3,4,2,2,0,1,1,0,0,0,0,0,1
3,7,20,1,2,4,4,4,3,0,1,0,0,0,0,1,0,0
4,6,42,2,2,6,6,4,4,1,0,0,0,0,0,0,0,0
5,6,25,2,1,6,6,1,4,0,1,1,0,0,0,1,0,1
6,6,28,1,5,4,5,4,5,0,1,1,0,0,0,0,0,0
7,6,27,1,2,1,5,1,6,0,0,0,0,1,0,0,0,0
8,6,38,1,2,6,6,5,6,0,0,0,0,0,0,0,0,0
9,6,35,1,2,4,5,5,3,0,1,0,0,1,0,1,0,0
10,6,38,1,1,6,6,1,4,0,1,0,0,0,0,0,0,0
11,6,20,1,1,6,6,6,5,0,1,1,1,0,1,0,0,1
12,6,37,2,2,6,6,5,6,0,0,0,0,0,0,0,0,1
13,6,22,1,4,5,3,6,4,0,0,0,0,0,0,0,0,1
14,6,25,1,4,4,4,3,3,0,1,0,0,0,0,0,0,0
15,5,20,2,1,2,1,5,6,0,1,0,0,0,0,0,0,1
16,5,27,2,1,6,6,1,6,0,0,0,0,0,1,0,0,0
17,6,37,2,1,6,6,4,4,0,1,0,0,0,0,0,0,0
18,6,22,1,1,5,5,4,4,0,1,1,0,0,0,0,0,1
19,6,40,2,4,5,6,5,4,0,0,0,1,0,1,0,0,1
20,6,45,2,6,5,2,4,5,0,1,1,0,0,1,0,0,1
21,6,18,2,1,6,6,3,5,0,1,0,0,0,1,0,0,1
22,6,18,1,1,5,5,1,1,0,1,0,0,0,0,0,0,1
23,6,31,2,2,4,4,3,3,0,1,1,0,0,0,0,0,0
24,6,23,2,2,5,6,4,4,0,0,1,0,0,1,0,0,1
25,6,40,1,3,6,5,3,4,0,1,0,0,0,0,0,0,0
26,6,37,2,2,6,6,3,5,0,0,0,0,0,0,0,0,1
27,6,40,1,2,5,5,1,2,0,0,1,0,0,0,0,0,0
28,7,40,2,3,5,5,4,4,0,0,1,0,0,1,0,0,0
29,7,20,1,1,2,4,4,6,0,1,1,0,0,0,0,0,1
30,7,22,1,3,6,5,5,6,0,0,0,0,0,1,0,0,0
31,7,30,2,6,4,5,4,5,0,1,1,0,0,1,0,0,0
32,7,40,2,6,6,6,3,5,0,1,0,0,0,0,0,0,1
33,1,25,1,1,6,6,3,6,0,1,0,0,0,1,0,0,0
34,4,45,2,1,6,4,1,5,0,0,0,0,1,0,0,0,1
35,1,45,2,1,6,6,6,6,0,0,0,0,0,0,0,0,0
36,1,42,1,1,6,1,1,6,0,1,1,0,0,0,0,0,1
37,1,34,1,2,5,6,3,5,0,1,0,0,0,0,0,0,0
38,1,22,1,1,2,4,3,5,0,0,0,0,1,0,0,0,0
