Techincal Skills,Soft Skills,Placed
100,100,1
100,72,1
100,66,1
100,56,1
100,90,1
100,67,1
100,81,1
100,53,1
100,77,1
100,57,1
100,85,1
100,96,1
100,99,1
100,22,0
100,19,0
100,19,0
100,19,0
100,24,0
100,29,0
100,3,0
100,11,0
100,29,0
100,20,0
100,5,0
100,28,0
100,22,0
100,20,0
100,26,0
100,22,0
100,17,0
100,2,0
100,17,0
99,92,1
99,53,1
99,93,1
99,84,1
99,98,1
99,97,1
99,55,1
99,94,1
99,88,1
99,89,1
99,98,1
99,53,1
99,84,1
99,86,1
99,81,1
99,72,1
99,11,0
99,27,0
99,12,0
99,1,0
99,19,0
99,16,0
99,6,0
99,24,0
99,16,0
99,22,0
99,5,0
99,0,0
99,26,0
99,22,0
99,20,0
99,20,0
99,4,0
99,4,0
99,12,0
98,81,1
98,52,1
98,70,1
98,91,1
98,64,1
98,91,1
98,95,1
98,51,1
98,58,1
98,92,1
98,86,1
98,59,1
98,54,1
98,95,1
98,61,1
98,96,1
98,27,0
98,27,0
98,5,0
98,22,0
98,25,0
98,0,0
98,0,0
98,8,0
98,26,0
98,16,0
98,12,0
98,9,0
98,29,0
98,30,0
98,19,0
98,0,0
98,27,0
98,12,0
98,6,0
98,3,0
97,51,1
97,89,1
97,66,1
97,96,1
97,65,1
97,63,1
97,63,1
97,93,1
97,88,1
97,69,1
97,75,1
97,65,1
97,82,1
97,88,1
97,75,1
97,10,0
97,30,0
97,9,0
97,29,0
97,27,0
97,19,0
97,18,0
97,7,0
97,11,0
97,19,0
97,22,0
97,10,0
97,20,0
97,27,0
97,20,0
97,27,0
97,20,0
97,2,0
97,7,0
97,3,0
97,0,0
97,19,0
97,15,0
96,56,1
96,96,1
96,80,1
96,56,1
96,52,1
96,59,1
96,62,1
96,82,1
96,63,1
96,69,1
96,57,1
96,56,1
96,84,1
96,68,1
96,11,0
96,22,0
96,0,0
96,0,0
96,10,0
96,13,0
96,4,0
96,29,0
96,26,0
96,30,0
96,15,0
96,13,0
96,10,0
96,13,0
96,12,0
96,11,0
96,19,0
96,30,0
96,15,0
96,0,0
96,26,0
95,64,1
95,68,1
95,84,1
95,88,1
95,55,1
95,54,1
95,79,1
95,81,1
95,64,1
95,95,1
95,99,1
95,53,1
95,79,1
95,84,1
95,2,0
95,5,0
95,30,0
95,2,0
95,15,0
95,9,0
95,30,0
95,7,0
95,9,0
95,9,0
95,25,0
95,21,0
95,26,0
95,21,0
95,13,0
95,26,0
95,12,0
95,14,0
95,28,0
95,27,0
95,0,0
95,8,0
95,15,0
95,22,0
95,10,0
94,65,1
94,85,1
94,95,1
94,69,1
94,70,1
94,56,1
94,94,1
94,66,1
94,88,1
94,56,1
94,89,1
94,16,0
94,30,0
94,20,0
94,12,0
94,17,0
94,21,0
94,27,0
94,19,0
94,4,0
94,28,0
94,25,0
94,27,0
94,15,0
94,21,0
94,16,0
94,14,0
94,17,0
94,8,0
94,4,0
94,2,0
94,15,0
94,14,0
94,3,0
94,6,0
93,57,1
93,69,1
93,66,1
93,79,1
93,76,1
93,55,1
93,72,1
93,62,1
93,57,1
93,79,1
93,74,1
93,76,1
93,100,1
93,86,1
93,100,1
93,5,0
93,19,0
93,9,0
93,7,0
93,19,0
93,30,0
93,7,0
93,28,0
93,26,0
93,0,0
93,6,0
93,21,0
93,15,0
93,10,0
93,28,0
93,4,0
93,11,0
93,10,0
93,7,0
93,15,0
93,9,0
93,7,0
93,25,0
93,24,0
93,3,0
93,21,0
93,5,0
93,10,0
92,93,1
92,57,1
92,65,1
92,81,1
92,77,1
92,68,1
92,85,1
92,100,1
92,98,1
92,77,1
92,98,1
92,1,0
92,2,0
92,9,0
92,14,0
92,3,0
92,17,0
92,4,0
92,15,0
92,14,0
92,13,0
92,22,0
92,5,0
92,20,0
92,11,0
92,30,0
92,3,0
92,2,0
92,15,0
92,18,0
92,21,0
92,23,0
92,1,0
92,1,0
92,30,0
92,28,0
92,1,0
92,24,0
92,28,0
91,59,1
91,79,1
91,74,1
91,80,1
91,66,1
91,91,1
91,65,1
91,79,1
91,93,1
91,79,1
91,94,1
91,27,0
