Date,Price
17-09-2007,1.386501
18-09-2007,1.397995
19-09-2007,1.396902
20-09-2007,1.407895
21-09-2007,1.409205
24-09-2007,1.4074
25-09-2007,1.415208
26-09-2007,1.413308
27-09-2007,1.415208
28-09-2007,1.426493
01-10-2007,1.423609
02-10-2007,1.415208
03-10-2007,1.41
04-10-2007,1.413507
05-10-2007,1.413308
08-10-2007,1.404909
09-10-2007,1.410696
10-10-2007,1.414107
11-10-2007,1.420192
12-10-2007,1.419003
15-10-2007,1.420394
16-10-2007,1.417696
17-10-2007,1.421707
18-10-2007,1.42949
19-10-2007,1.429695
22-10-2007,1.417997
23-10-2007,1.425801
24-10-2007,1.42631
25-10-2007,1.432603
26-10-2007,1.439305
29-10-2007,1.441795
30-10-2007,1.444002
31-10-2007,1.447199
01-11-2007,1.44271
02-11-2007,1.448792
05-11-2007,1.447807
06-11-2007,1.45641
07-11-2007,1.462394
08-11-2007,1.468105
09-11-2007,1.467502
12-11-2007,1.452391
13-11-2007,1.462095
14-11-2007,1.465008
15-11-2007,1.462095
16-11-2007,1.4634
19-11-2007,1.466899
20-11-2007,1.483305
21-11-2007,1.485796
22-11-2007,1.485597
23-11-2007,1.4801
26-11-2007,null
27-11-2007,1.48379
28-11-2007,1.484098
29-11-2007,1.475993
30-11-2007,1.469594
03-12-2007,1.467007
04-12-2007,1.476603
05-12-2007,1.459897
06-12-2007,1.46591
07-12-2007,1.46561
10-12-2007,1.470891
11-12-2007,1.466491
12-12-2007,1.471605
13-12-2007,1.462994
14-12-2007,1.44371
17-12-2007,1.441296
18-12-2007,null
19-12-2007,1.438394
20-12-2007,1.433301
21-12-2007,1.438807
24-12-2007,1.439698
25-12-2007,1.439595
26-12-2007,1.448792
27-12-2007,1.46139
28-12-2007,1.4718
31-12-2007,1.46011
01-01-2008,1.46201
02-01-2008,1.471692
03-01-2008,1.474491
04-01-2008,1.475492
07-01-2008,1.468299
08-01-2008,1.557099
09-01-2008,1.466405
10-01-2008,1.4801
11-01-2008,1.479006
14-01-2008,1.4869
15-01-2008,1.48021
16-01-2008,1.466405
17-01-2008,1.464
18-01-2008,1.461796
21-01-2008,1.442003
22-01-2008,1.464794
23-01-2008,1.463208
