Date,Price
05-10-2007,75.971344
08-10-2007,72.082146
09-10-2007,76.990837
10-10-2007,77.70826
11-10-2007,86.392845
12-10-2007,85.826462
15-10-2007,86.959221
16-10-2007,95.832611
17-10-2007,103.308907
18-10-2007,99.684044
19-10-2007,99.344215
22-10-2007,98.022659
23-10-2007,105.008095
24-10-2007,103.384445
25-10-2007,103.157898
26-10-2007,106.254135
29-10-2007,108.406418
30-10-2007,110.823006
31-10-2007,113.126289
01-11-2007,110.596397
02-11-2007,112.597656
05-11-2007,114.900993
06-11-2007,116.411346
07-11-2007,114.712166
08-11-2007,112.748703
12-11-2007,115.467369
13-11-2007,118.223778
14-11-2007,116.675652
15-11-2007,118.639114
16-11-2007,117.808434
19-11-2007,122.075226
20-11-2007,120.187263
21-11-2007,110.823006
22-11-2007,107.009323
23-11-2007,114.108047
26-11-2007,115.014259
27-11-2007,112.182304
28-11-2007,110.52092
29-11-2007,107.537971
30-11-2007,111.691452
03-12-2007,113.277344
04-12-2007,111.804749
05-12-2007,116.260338
06-12-2007,114.108047
07-12-2007,113.61718
10-12-2007,113.730461
11-12-2007,113.201813
12-12-2007,113.126289
13-12-2007,111.238358
14-12-2007,110.143349
17-12-2007,103.497742
18-12-2007,103.044617
19-12-2007,101.156662
20-12-2007,100.137177
24-12-2007,103.195663
26-12-2007,106.329681
27-12-2007,107.084839
28-12-2007,107.915512
31-12-2007,108.708473
01-01-2008,110.709717
02-01-2008,110.105591
03-01-2008,114.636665
04-01-2008,114.032524
07-01-2008,113.088547
08-01-2008,109.237099
09-01-2008,107.500198
10-01-2008,104.932571
11-01-2008,106.518478
14-01-2008,108.142097
15-01-2008,104.857056
16-01-2008,102.704788
17-01-2008,105.461197
18-01-2008,100.552513
21-01-2008,83.447632
22-01-2008,75.065109
23-01-2008,83.447632
24-01-2008,83.636429
25-01-2008,87.940948
28-01-2008,88.884964
29-01-2008,87.412346
30-01-2008,82.579178
31-01-2008,77.179619
01-02-2008,79.860519
04-02-2008,83.976273
05-02-2008,86.581635
06-02-2008,85.826462
07-02-2008,81.786232
08-02-2008,79.671738
11-02-2008,74.045624
12-02-2008,72.724045
13-02-2008,71.666801
14-02-2008,77.934814
15-02-2008,80.162613
18-02-2008,79.709488
19-02-2008,78.841026
20-02-2008,76.877541
21-02-2008,77.406204
22-02-2008,76.424446
25-02-2008,77.066353
26-02-2008,77.368416
27-02-2008,81.899498
28-02-2008,84.202827
29-02-2008,82.994545
03-03-2008,79.520683
04-03-2008,77.481689
05-03-2008,78.91655
07-03-2008,74.87632
10-03-2008,74.610664
11-03-2008,80.758636
12-03-2008,78.709312
13-03-2008,67.89344
14-03-2008,72.561348
17-03-2008,69.715057
18-03-2008,70.322281
19-03-2008,70.739731
24-03-2008,71.422829
25-03-2008,74.11731
26-03-2008,73.661911
27-03-2008,74.990166
28-03-2008,75.141968
31-03-2008,74.610664
01-04-2008,74.762482
02-04-2008,75.976891
03-04-2008,75.369667
04-04-2008,74.990166
07-04-2008,74.686584
08-04-2008,72.789047
09-04-2008,72.97879
10-04-2008,74.420906
11-04-2008,74.762482
15-04-2008,75.900978
16-04-2008,74.876328
17-04-2008,77.760559
21-04-2008,79.012917
22-04-2008,80.303238
23-04-2008,80.379143
24-04-2008,77.53286
25-04-2008,78.178017
28-04-2008,78.481621
29-04-2008,79.582184
30-04-2008,80.113487
02-05-2008,80.834549
05-05-2008,80.455048
06-05-2008,79.771935
07-05-2008,78.633415
08-05-2008,77.684662
09-05-2008,77.22924
12-05-2008,77.22924
13-05-2008,77.456947
14-05-2008,77.570808
15-05-2008,77.608742
16-05-2008,78.215981
20-05-2008,78.064178
21-05-2008,78.557503
22-05-2008,77.494888
23-05-2008,76.204575
26-05-2008,75.635338
27-05-2008,73.358299
28-05-2008,76.052788
29-05-2008,77.305153
30-05-2008,74.838371
02-06-2008,71.650528
03-06-2008,68.994003
04-06-2008,66.868767
05-06-2008,66.754913
06-06-2008,66.033852
09-06-2008,65.123047
10-06-2008,64.667633
11-06-2008,64.971237
12-06-2008,65.426643
13-06-2008,65.009209
16-06-2008,67.286232
17-06-2008,69.297607
18-06-2008,69.221695
19-06-2008,67.741608
20-06-2008,66.185654
23-06-2008,63.870674
24-06-2008,61.897247
25-06-2008,60.189491
26-06-2008,63.605049
27-06-2008,60.796684
30-06-2008,59.58226
01-07-2008,55.369766
02-07-2008,57.798592
03-07-2008,56.280586
04-07-2008,57.039589
07-07-2008,58.291946
08-07-2008,59.999737
09-07-2008,64.174263
10-07-2008,66.982605
11-07-2008,63.794777
14-07-2008,63.832714
15-07-2008,61.176193
16-07-2008,59.506363
17-07-2008,62.542412
18-07-2008,66.033852
21-07-2008,69.753006
22-07-2008,72.599304
23-07-2008,77.722618
24-07-2008,74.990166
25-07-2008,75.141968
28-07-2008,74.53476
29-07-2008,71.536682
30-07-2008,74.53476
31-07-2008,71.916183
01-08-2008,74.003464
04-08-2008,74.458855
