Date,Price
17-09-2007,40.376999
18-09-2007,40.216999
19-09-2007,40.033001
20-09-2007,39.615002
21-09-2007,39.77
24-09-2007,39.431
25-09-2007,39.66
26-09-2007,39.632999
27-09-2007,39.653
28-09-2007,39.575001
01-10-2007,39.667999
02-10-2007,39.573002
03-10-2007,39.32
04-10-2007,39.216
05-10-2007,39.404999
08-10-2007,39.352001
09-10-2007,39.154999
10-10-2007,39.174999
11-10-2007,39.236
12-10-2007,39.095001
15-10-2007,39.236
16-10-2007,39.154999
17-10-2007,39.471001
18-10-2007,39.555
19-10-2007,39.450001
22-10-2007,39.652
23-10-2007,39.415001
24-10-2007,39.375
25-10-2007,39.473
26-10-2007,39.235001
29-10-2007,39.215
30-10-2007,39.310001
31-10-2007,39.174
01-11-2007,39.256001
02-11-2007,39.195
05-11-2007,39.256001
06-11-2007,39.215
07-11-2007,39.129002
08-11-2007,39.249001
09-11-2007,39.044998
12-11-2007,39.271999
13-11-2007,39.353001
14-11-2007,39.259998
15-11-2007,39.214001
16-11-2007,39.174999
19-11-2007,39.154999
20-11-2007,39.155998
21-11-2007,39.255001
22-11-2007,39.455002
23-11-2007,39.599998
26-11-2007,null
27-11-2007,39.716
28-11-2007,39.631001
29-11-2007,39.573002
30-11-2007,39.455002
03-12-2007,39.493999
04-12-2007,39.352001
05-12-2007,39.397999
06-12-2007,39.391998
07-12-2007,39.360001
10-12-2007,39.344002
11-12-2007,39.292999
12-12-2007,39.293999
13-12-2007,39.308998
14-12-2007,39.240002
17-12-2007,39.373001
18-12-2007,null
19-12-2007,39.490002
20-12-2007,39.488998
21-12-2007,39.235001
24-12-2007,39.251999
25-12-2007,39.235001
26-12-2007,39.389999
27-12-2007,39.196999
28-12-2007,39.244999
31-12-2007,39.244999
01-01-2008,39.244999
02-01-2008,39.375
03-01-2008,39.353001
04-01-2008,39.095001
07-01-2008,39.213001
08-01-2008,39.195999
09-01-2008,39.213001
10-01-2008,39.216
11-01-2008,39.095001
14-01-2008,39.216999
15-01-2008,39.192001
16-01-2008,39.171001
17-01-2008,39.191002
18-01-2008,39.284
21-01-2008,39.476002
22-01-2008,39.310001
23-01-2008,39.473
24-01-2008,39.368999
25-01-2008,39.275002
28-01-2008,39.294998
29-01-2008,39.209999
30-01-2008,39.347
31-01-2008,39.313999
01-02-2008,39.272999
04-02-2008,39.271999
05-02-2008,39.451
