User Number,Title,Author_Name,App_Version,Rating,Review,Date
1,App not working on iPhone 7,Shubhangi Agrawal,4.8.20,1,"After latest update app stopped working on my iPhone 7. Whenever I open Ola app, a white screen appears with Ola?s logo and that?s it. It remains as it is.

It?s been around two weeks for this issue and I am surprised Ola have not fixed it yet.",7/25/2016 0:00
2,KYC verifications,anjish27,4.8.20,5,I have uploaded all my relevant documents but how will I verify with the driver until & unless he asks me the documents.,7/25/2016 0:00
3,Not opening since last update,Riyo007,4.8.20,1,Get stuck on front page. Can?t book a cab for this,7/25/2016 0:00
4,Issue,Rajjivani,4.8.20,3,Why I am facing some issue in using ola cab ?,7/25/2016 0:00
5,Manjunath,Cheemireddi,4.8.20,1,Worst service currently available in India,7/25/2016 0:00
6,Worse App..<U+0001F64F><U+0001F3FB>,Amaayra,4.8.20,1,I suggest never go for this app. I repeat never.. <U+0001F64F><U+0001F3FB>,7/25/2016 0:00
7,Booking cab registration number,Soumarsi,4.8.20,4,"When I book a cab using share, after booking completed that time driver cancel the booking and then reschedule once again from your side.main problem is cab number is not changed, it is showing canceled cab number.
Otherwise app is good and helpful.
Thank you",7/25/2016 0:00
8,Need to work in pune,saru2393,4.8.20,3,I?ve tried ola auto and not a single auto driver know how to follow the location,7/25/2016 0:00
9,Cheat experts.,Prathamesh Hindurao,4.8.20,1,"My grandparents were travelling from Pune to Thane on 14 July 2019 which journey is around 160km and ended up paying <U+20B9>2800 for 260kms (<U+20B9>1200 extra). I am complaining Ola support since 14 July till today. I am just getting their fake assurances that the refund will be completed in 72 hours. And every day I call them I get the same fake assurances. And today they blocked his account, and when I called them to ask the reason they answered it saying ?the system has generated some error?. 

Again today they have asked me to wait for 24-48 hours to get his account unbanned. 
 
Worst app I have ever used. 
1-10 rating for Olacabs services I would give 0.",7/25/2016 0:00
10,Doesn?t have a luggage space yet stationed near railway station,rajani7560,4.8.20,4,3 attachi fr three of us and driver said he doesn?t have carrier and was saying u take another taxi becoz u have 3 attachi hence pl don?t engage carrier less taxi fr railways  station becoz booking new taxi could not ensure new taxi driver will be any better,7/25/2016 0:00
11,Why i need to pay cancellation fine if driver denied to come at point.,Hareshwar,4.8.20,1,Very bad service Ola .. soon your competitors will nit you...,7/25/2016 0:00
12,I found it better than Uber,Rajveer More,4.8.20,5,User friendly app. Clarity of bookings.,7/25/2016 0:00
13,App unable to open its talking longer time than earlier,aravind19801001,4.8.20,1,"Unable to open app, it?s to slow it?s taking too much time to launch. 

iPhone 7 
IOS 12",7/25/2016 0:00
14,App not working,Arpit Chaudhary,4.8.20,1,Ever since I have updated this app it is not opening in my phone,7/25/2016 0:00
15,Hospitality,dr kalra,4.8.20,4,Nice,7/25/2016 0:00
16,Rubbish and rude,sn_eh_al patil,4.8.20,1,"They accept the ride and then they won?t come to the pickup, when we ask hello sir where are you they say where you wanna go madam I say my drop location then they ask me what?s the mode of payment I say it?s ola money and then boom they cut the call. When I try calling them again they don?t receive it. That?s how ridiculous they do all the time not just ones or twice it?s all the time same thing",7/25/2016 0:00
17,Mismatched estimated and actual fare,Aka Anil,4.8.20,3,Not satisfied with OLA billing. Vast Difference in estimated and actual fare. Drivers are asking passengers to pay toll charges.,8/10/2016 0:00
18,Bad experience with Ola cab,vip rana,4.8.20,1,Very bad service most of time.driver very bad behaviour.he always ask Frist drop point then decide for come for pickup.always said cancel the  booking to the customers,8/11/2016 0:00
19,Postpaid bill,hemantmps,4.8.20,1,I have never used the postpaid and ola is charging for same through postpaid bill,8/12/2016 0:00
20,Facing a lot of booking related issues,JV@1995,4.8.20,2,"I live in gh 34, mdc 5, panchkula, haryana. These days facing a lot of delay in getting cabs books especially towards industrial area phase 2 panchkula, where i work. The cab fares have almost doubled up and the services have gone very low in past few months. Its takes almost an hour for me to book cabs to and fro from the location i have mentioned. I have been a customer from last 3 years, but never been this disappointed. Urge you to improve your services at least  for the sake of loyalty that your customers show towards you.",8/13/2016 0:00
21,Hi,dayhala,4.8.20,2,Imnt getting option to pay in googlepay,8/14/2016 0:00
22,App Not working on IOS,Skalra20,4.8.20,1,Please check as application is not working on IOS platform. I have checked in 3 4 different devices. When I open the app it gets stuck on first screen due to this my fon got hanged.,8/15/2016 0:00
23,Hangs a lot from last 2 months,SKY5313,4.8.20,3,Hangs a lot from last 2 months,8/16/2016 0:00
24,Ola experience,pkpatra201,4.8.20,1,I used Ola share after some time and experience was not great as after my pick up and enroute for sometime another pick up came from the source location and that too in Mumbai traffic. The poor driver had to return back braving rain and traffic to pick the person who was in real need at the Dadar railway station.,8/17/2016 0:00
25,There is issue with the app,Tuhiin,4.8.20,1,Issue with the app. Not able to book cabs. App is tripping,8/18/2016 0:00
26,advice,ola is good,4.8.20,5,"well, safe , fast but cost is high",8/19/2016 0:00
