DMU,Y,K,L1,L2,M,E
1,14328,2142,249,75,11601,429
2,31121259,18444500,486846,110446,20910775,1637021
3,99998,19343,2671,627,68545,5064
4,6732646,2733666,180489,36666,4149359,246538
5,6002667,1997672,104057,17715,4262773,189859
6,486470,103779,5414,4010,174316,7761
7,12560528,11276704,147310,38495,7543325,1345576
8,10831397,3016960,93928,25663,8351091,265701
9,4364063,1149170,89854,25186,2938816,116389
10,4655142,641472,68630,33618,2390841,99751
11,5044696,1055445,51377,24837,2688503,127383
12,135997115,67266206,1403204,423544,94298706,5820325
13,50333586,11801700,674373,183940,32817325,2031049
14,11291885,4534824,146633,59148,6407938,447118
15,3288427,920266,58005,15493,2015881,64142
16,14153289,10547093,153026,39256,7710725,1682564
17,52893789,19018695,828689,236657,32657716,1423859
18,16356600,4346595,241789,68537,11359876,714007
19,25723164,15416401,281063,96959,14192955,1377257
20,119971795,35844136,1414565,593229,72469938,3821033
21,42083,15929,7334,1198,23531,4176
22,568899,361974,10758,1931,238081,110520
23,54104,20764,5227,777,27105,1255
24,22997037,33907302,229036,50460,13980623,2172072
25,3069202,447633,39738,12078,1500965,79794
26,21210410,4725230,569266,138966,13166430,1332919
27,29745019,10937405,432434,123669,18413264,1565901
28,1836037,705218,15069,4590,448288,21449
29,86380870,27754189,2095223,428260,54162368,2695105
30,22240202,8101026,669220,125300,13189227,1085981
31,155929,45161,23393,3239,72130,15145
32,51463543,13845026,839121,231720,32672511,2368421
33,23618613,5842010,339694,86893,16179248,580788
34,31912464,11743291,516740,147011,20907002,1523422
