DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
11,Andhra Pradesh-1-2-1,28,0.64,451,24,5.15,48,70.5,20,750,160,0,420
12,Andhra Pradesh-1-2-10,129,3.4,1008,0,28,270,445,50,5900,850,0,1200
13,Andhra Pradesh-1-2-2,33,0.8,508,0,5,60,55,0,750,200,0,680
14,Andhra Pradesh-1-2-3,58,1.2,837,20,8.45,90,135.5,55,2250,200,0,320
15,Andhra Pradesh-1-2-4,56,1.28,793,0,9.15,95,162,35,2250,320,0,600
16,Andhra Pradesh-1-2-5,100,2.2,715,0,19.3,145,265,0,4600,550,0,1120
17,Andhra Pradesh-1-2-6,114,2.4,1072.5,0,20.8,180,307.5,90,5000,600,0,2580
18,Andhra Pradesh-1-2-7,113,2.44,2353,401,6,183,324,90,5700,620,0,4200
19,Andhra Pradesh-1-2-8,90,2.64,2486.5,301,12.5,198,372,40,0,300,0,102156
20,Andhra Pradesh-1-2-9,129,3,1111,24,26.5,225,386,140,7700,750,0,24060
31,Andhra Pradesh-1-4-1,23.25,0.7,624.667,76,2.5,50,108.9,15,340,480,0,56686
32,Andhra Pradesh-1-4-10,93.75,1.96,2011.001,27,20.6,170,300.7,0,800,2400,0,3835
33,Andhra Pradesh-1-4-2,33,0.84,855,34,7,65,123.6,5,880,2400,0,1360
34,Andhra Pradesh-1-4-3,32.25,0.88,1013,30,9.5,70,165.2,10,680,1200,0,1208
35,Andhra Pradesh-1-4-4,55.5,1.2,1125,24,12.3,120,93.6,25,1440,1920,0,1186
36,Andhra Pradesh-1-4-5,82.5,1.6,1624,44,17.6,150,225,10,1880,3360,0,3456
37,Andhra Pradesh-1-4-6,91.5,2.16,2114.668,30,26,160,284.8,25,1600,2400,150,4123
38,Andhra Pradesh-1-4-7,107.25,2.4,2172.667,138,11,210,379.2,20,1920,909.92,0,92239
39,Andhra Pradesh-1-4-8,82.5,2,1794.333,90,19.3,170,363,20,1840,413.6,0,86264
40,Andhra Pradesh-1-4-9,129,3.07,2710.668,46,31.6,240,433.6,45,1920,1200,0,5684
50,Andhra Pradesh-1-6-1,18.75,0.4,350.33,1,14,30,106.5,0,700,654.96,225,17646
51,Andhra Pradesh-1-6-10,22.5,0.4,285,2,13,25,103.5,0,825,548.178,225,32540
52,Andhra Pradesh-1-6-2,48.75,1.03,735,3,33,75,289,0,1950,1699.44,450,18589
53,Andhra Pradesh-1-6-3,61.5,1.42,912,4,33,105,437.5,0,1900,2912.76,525,47746
54,Andhra Pradesh-1-6-4,33.75,0.61,405,2,15.5,50,177,0,1050,1995.76,300,13574
55,Andhra Pradesh-1-6-5,63,1.21,791,3,38,90,258,0,2500,1955.887,450,21182
56,Andhra Pradesh-1-6-6,119.25,2.42,1392,6,75,180,470,0,5280,4019.22,1350,47916
57,Andhra Pradesh-1-6-7,42,0.81,543.333,2,18,60,256.5,0,1735,1043.096,300,15002
58,Andhra Pradesh-1-6-8,84,1.61,974,4,36,120,371,0,3880,956,600,1009
59,Andhra Pradesh-1-6-9,112.5,2.02,1195,3,51,150,479.5,0,3800,3069.495,750,57532
60,Andhra Pradesh-2-10-10,621.75,8.22,3411.5,0,66.5,770,1978.9,0,26985,1190,675,15372
61,Andhra Pradesh-2-10-2,147.75,1.94,979.5,0,17.5,180,535.65,0,7095,715.826,500,16930
62,Andhra Pradesh-2-10-3,114,1.73,849.5,0,14.5,160,142,0,9770,2342.104,0,8305
63,Andhra Pradesh-2-10-4,165,2.28,1183.5,0,21,227,597.5,0,7430,772.877,0,149872
64,Andhra Pradesh-2-10-5,404.25,5.58,2831.667,0,53,506,1589.86,0,19802,1569.875,1500,159758
