DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
1,Andhra Pradesh-1-1-1,40,0.77,367,0,12.6,60,115,20,1700,0,80
2,Andhra Pradesh-1-1-10,100,1.78,376.667,0,13.75,110,288.2,37,1900,0,360
3,Andhra Pradesh-1-1-2,46.4,0.83,485.334,0,13.15,70,130.7,17,1100,0,160
4,Andhra Pradesh-1-1-3,72,1.38,622.999,0,17.6,100,194.9,26,1300,0,140
5,Andhra Pradesh-1-1-4,90.4,1.6,723.001,0,22.5,120,231.2,28,2150,0,180
6,Andhra Pradesh-1-1-5,120,2.3,806.333,0,37.55,170,397.5,46,4050,0,1020
7,Andhra Pradesh-1-1-6,98.4,1.7,724.334,0,20.7,130,293.2,28,1300,0,120
8,Andhra Pradesh-1-1-7,88.8,1.54,331,0,17.35,115,230.1,36,4130,0,60
9,Andhra Pradesh-1-1-8,103.2,1.86,597.667,0,21.4,145,295.1,34,2300,0,100
10,Andhra Pradesh-1-1-9,156,2.85,1250,0,38.2,200,421.4,44,4000,0,540
21,Andhra Pradesh-1-3-1,38.5,0.8,898.667,112,12,66,140,50,300,0,39239
22,Andhra Pradesh-1-3-10,272,5.6,3105.334,206,52.9,420,1072,85,1800,0,1275
23,Andhra Pradesh-1-3-2,40,0.88,952.667,88,10,66,152,40,300,0,40626
24,Andhra Pradesh-1-3-3,61.5,1.5,1364.667,186,19.2,120,259.4,65,960,0,62860
25,Andhra Pradesh-1-3-4,71,1.66,1719.996,243,19,120,284.5,75,1060,0,78060
26,Andhra Pradesh-1-3-5,145,2.9,2235,115,40.3,165,496.62,120,1600,0,920.68
27,Andhra Pradesh-1-3-6,123,2.4,1853.666,148,26,180,447,100,1140,0,81346
28,Andhra Pradesh-1-3-7,205,4.08,3271.601,272,42.3,300,647,105,1810,0,144453
29,Andhra Pradesh-1-3-8,227,4.4,3195.333,267,46.6,330,758.5,120,1980,0,143211
30,Andhra Pradesh-1-3-9,260,5.06,3312,176,59.3,375,970,105,1860,0,1821
41,Andhra Pradesh-1-5-1,7,0.2,201.333,0,11,15,66.5,10,1500,0,736
42,Andhra Pradesh-1-5-10,24,0.6,594,0,11,45,199.5,20,4500,0,1388
43,Andhra Pradesh-1-5-2,7,0.2,191.333,0,11,15,66.5,10,1500,0,954
44,Andhra Pradesh-1-5-3,23,0.6,547,0,31,45,199.5,30,4500,0,1009
45,Andhra Pradesh-1-5-4,30,0.8,742,0,40,60,266,40,6000,0,837
46,Andhra Pradesh-1-5-5,15,0.4,377,0,20,30,133,20,9000,0,837
47,Andhra Pradesh-1-5-6,48,1.2,1111,0,54,90,399,30,9000,0,837
48,Andhra Pradesh-1-5-7,48,1.2,1118,0,54,90,399,30,9000,0,1009
49,Andhra Pradesh-1-5-8,49,1.2,1100,0,54,90,399,30,9000,0,1388
93,Andhra Pradesh-2-13-4,114,1.6,962.667,0,24,80,362.4,80,5200,0,685
99,Andhra Pradesh-2-14-1,78.75,1.32,434,0,11.6,80,327,0,4258,0,126
100,Andhra Pradesh-2-14-10,883.5,15.36,4472,0,169,950,3648,0,43450,0,126
