n,fuel,fert,herb,seed,labor,mach,land,Output
Farm1,58.944,83.14978585,125.9093453,61.9585396,180.2929936,17.25097345,51,15958.512
Farm2,229.3642667,146.0909828,93.1729155,181.9422958,607.1321656,49.73230088,179.9,49652.251
Farm3,282.2752,221.9774279,77.78035814,175.6806931,694.8057325,74.67,138.2,76618.08
Farm4,278.7072,250.0868156,177.8925574,352.7266399,1416.020701,67.72460177,276.9,106046.192
Farm5,483.8730667,200.7884014,197.9171796,313.1930693,2038.113057,162.8700885,293,148937.76
Farm6,324.0618667,261.0370413,331.7193621,324.484375,1378.621815,110.1974336,288.6,136948.86
Farm7,215.7829333,311.5175368,250.0839396,297.6794554,1191.735669,73.82707965,241.2,109188.48
Farm8,270.0416,279.2929737,228.3724119,530.7875928,1118.216561,92.67752212,283.2,89359.092
Farm9,136.4192,220.4442644,100.8933968,280.987005,957.3821656,25.48867257,202,80580.384
Farm10,261.8453333,145.8643362,157.9742585,217.7753713,829.1321656,109.2535398,212.83,86456.566
Farm11,249.1290667,219.8981364,135.2266368,290.0849319,882.0995223,74.01672566,248.5,90195.648
Farm12,19.79466667,16.32052321,7.943480694,28.08555074,287.8136943,14.76442478,25,7335.9
Farm13,170.8954667,197.4084964,179.8637381,368.7107054,2349.752389,172.01,374.7,109592.945
Farm14,163.0661333,131.0568353,356.0716284,178.9758663,939.272293,83.66212389,161,65502.378
Farm15,126.0858667,184.8014817,240.766648,199.9071782,1454.044586,66.00876106,251,71882.413
Farm16,184.232,250.3897442,342.1980974,293.402073,1571.740446,54.93371681,230.25,104961.549
Farm17,199.7024,104.0745457,70.11751539,172.1683168,545.044586,60.43141593,165.7,49257.399
Farm18,102.3429333,112.7242736,174.1077224,105.3598391,430.8853503,22.89681416,92.7,45673.661
Farm19,188.7456,167.4383609,204.8405148,152.1813119,574.5549363,32.8339823,113,60185.884
Farm20,41.7552,60.00694525,32.34471181,77.18920173,388.2898089,39.57920354,55,13994.64
Farm21,223.6906667,336.7952309,160.9437605,322.2600557,1492.710191,67.26584071,262,106110
Farm22,1808.6864,1508.068063,1636.653609,1311.912129,5291.197452,384.5044248,1114.6,520019.607
Farm23,329.8917333,599.2447042,368.0500839,618.0383663,1666.433121,26.00300885,441,165745.44
