DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Sum of Main Product (Rs.),By Product (Rs.),Ha-months in ground (Ha.),Crop Area (Ha.),Family Labour (Hrs.),Family Labour (Rs.),Attached Labour (Hrs.),Attached Labour (Rs.),Casual Labour (Hrs.), Casual Labour (Rs.),Hired Animal Labour (Hrs.),Hired Animal Labour (Rs.),Owned Animal Labour (Rs.),Owned Animal Labour (Hrs.),Hired Machine (Hrs.),Hired Machine (Rs.),Own Machine (Hrs.),Own Machine (Rs.),Seed Qty. (Kg.),Seed Value (Rs.),Fertiliser (N) (Kg.),Fertiliser (N) (Rs.),Fertiliser (P) (Kg.),Fertiliser (P) (Rs.),Fertiliser (K) (Kg.),Fertiliser (K) (Rs.),Other Fertiliser (Kg.),Other Fertiliser (Rs.),Total Fertiliser (Kg.), Total Fertiliser (Rs.),Manure (Qtl.),Manure (Rs.),Insecticides (Rs.),Own Irrigation Machine (Hrs.),Own Irrigation Machine (Rs.),Hired Irrigation Machine (Hrs.),Hired Irrigation Machine (Rs.),Other Irrigation Charges (Rs),Miscelaneous Cost (Rs.),Land Revenue (Rs.),Rent Paid for Leased in Land (Rs.),Imputed Rent (Rs.),Total Depreciation (Rs.), Total Capital (Rs.),Sample No. of Growers in size group,Total Number of Growers in size group,Cluster Factor/Weight,Area of all selected crops in Village (Ha.),No. of Villages in Tehsil,Area of Crop in Zone (Ha.),Production of Crop in Zone (Qtl.),Sum of No. of Tehsils in Zone,Sum of Sample Tehsils in Zone,Sum of Area of all selected crops in Zone (Ha.),Sum of Interest on working capital rate(%),Sum of Interest on fixed capital rate(%),Sum of Minimum Rent (%age of GVO),Sum of Maximum Rent (%age of GVO),Sum of Sample Zone in State,Sum of Sample Clusters in State,Sum of Tenure,Sum of Variety,Sum of Size Group
Andhra Pradesh-1,4795.7,101.03,6734512.5,453300,21723.267,909286.875,357,15432.249,47057.332,1996770,960,49050,96409.907,2192,1453.15,657718.3,0,0,7626,190820,9360.62,153186.672,5138.4,236153.329,3314.4,79440,87.5,7000,17900.92,475840,2096,131200,162560,1330,14278.316,126,15360,10450,5325,0,0,2156343.798,59884.737,1271679.68,432,5377,2306.333,38154.3,3370,48703000,2057730000,18984,678,78422000,1412.5,1130,3390,3390,565,6780,113,4930,364,417.94,1
Andhra Pradesh-2,32500.035,487.091,47497705,2383941,46338.503,2332614.283,15364,942047.832,179355.485,9503734,350,30805,4455,27,6730.62,5233419,376,39183.54,33262,953875,66272.16,1161296.75,36056.8,1746283.113,20997.3,515483.124,2844.46,189693,126174.72,3612756.002,3505.5,182700,2191345,23494.5,160851.307,0,0,67285,87025.6,1636.268,0,14944679.27,238076.457,13085585,652,11188,5836.738,331141.4,5693,265188000,14757540000,78064,4879,533533000,3587.5,2870,8610,8610,1435,17220,287,13930,991,1730.939,10
Andhra Pradesh-3,12776.4,183.07,20193498.2,1149810,29214.832,1211134.865,0,0,50639.339,2304283,200,17920,35339.568,264,2512.9,1785079,837,80693.777,13586,420262,23678.32,433953.086,15790.74,741233.833,3534.8,99632.091,140,3700,43143.86,1278519.003,2807,163720,495916,37171,150700.938,45,2550,720,0,13.726,9000,6382196.655,250248.469,11113555,273,3868,2029,75664.8,3624,23430000,1259540000,33086,1562,269516000,1775,1420,4260,4260,710,8520,172,7580,484,614.89,2
Andhra Pradesh-4,10965.78,177.46,15483190,918930,22936.334,1015500.354,4487.333,201741.681,36462.468,1678682,718,68250,57241.815,357,1545.5,1453350,1506.7,155908.592,13152.5,342110,20003.55,344249.933,12499,592667.574,6973.8,158542.491,0,0,39466.35,1095460.002,460.25,30930,375710,45263,267031.607,0,0,16050,300,58.537,359000,4458797.504,119012.766,22953367,277,3981,2265.5,142320.78,3358,96785590,3230886560,40004,1606,320790324,1825,1460,4380,4380,730,8760,386,7380,524,636.79,4
Andhra Pradesh-5,12920.2,221.513,19484764,1432400,35630.232,1358352.838,4139.333,175513.059,60231.668,2427329,437,34500,94317.447,602,2555.95,2455155,674.1,61075.471,15739,438693,32868.52,523559.152,10787.4,529702.991,10444.2,234051.849,1406,13674,55506.12,1300987.998,517,66600,360539,69930,279092.826,0,0,0,400,423.891,47000,6215935.392,156789.365,26386477,505,8361,4256.335,185379.9,4225,118314490,4451935348,61509,3045,632340331,2537.5,2030,6090,6090,1015,12180,263,8841,684,820.965,4
Assam-1,8567.45,247.79,9526578.5,958411,108551.327,3992319.331,0,0,58586.335,2087430.7,1295,41708,1675573.425,28742,2376.15,700056,1583.5,261385.805,13848,317969,4484.89,102810.059,2215.91,131176.941,1072.8,34928,0,0,7773.6,268915,997.5,142110,28453,4357,277507.378,849.5,77553,0,0,11115.982,131074,2406534.473,469616.359,22124659.49,1280,30770,9127.954,115335,53238,327279616,6135780040,21012,6592,393873236,5150,4120,0,10300,2472,18540,712,8110,906,1280.09,9
Assam-2,3477.2,85.44,4080090,387807,29744.334,1159548.808,0,0,13950.667,549301,160,4800,348695.254,5124,1464.9,514205,443,70924.3,5609,80252,2623.6,64156.7,562.94,45195.3,777.6,32131,0,0,3964.14,141537,195,33290,13650,808,64131.041,361,30338,0,0,3628.376,0,1045214.427,62162.031,4818465.061,238,5389,1651.254,26106,9956,19171325,187207248,1185,395,23478405,987.5,790,0,1975,474,3555,79,1150,212,351.2,6
Assam-3,2807.53,98.81,3171910,315760,42725.164,1370450.001,3863.333,122370.173,16126.67,489774,99,1980,540491.92,9750,1083,307410,1179,165414.859,5381.5,120972,1300.67,30014.606,717.01,43042.399,184.8,6120,0,0,2201.48,79177,614.8,96865,120,0,0,0,0,3100,0,5502.193,37776,826753.606,184501.613,8591060.771,527,12625,3358.001,34354,38517,73639956,702964392,4368,1248,79545648,1950,1560,0,3900,936,7020,216,2240,308,1071.93,8
Assam-4,4948.48,154.78,4973925,362205.4,73718.499,2522620.477,2358,99362.524,22991.498,781958,233,4039,1490407.871,26859,971,269832,691,57381.661,9538.45,156857,598.92,15065.357,462.42,27943.644,63.6,1908,0,0,1124.94,44917,887.67,113798,0,0,0,0,0,0,0,8053,16835,1261380.199,207878.518,10001701.57,508,12478,4001.167,60703,43915,75081174,830031156,4872,1914,97354044,2175,1740,0,4350,1044,7830,234,2260,412,712.02,8
Assam-5,1618.41,44.66,1820898,145097,22071.329,741653.684,0,0,6915.667,283677,279,3850,381835.31,6179,583,198070,32,8637.76,2956,53430,910.34,27567,0,0,0,0,0,0,910.34,27567,164.12,28972.4,0,0,0,0,0,0,0,2274.84,0,470798.749,55316.747,1919367.245,230,4899,1376.329,18030,10916,16929648,179699256,1008,216,17542512,900,720,0,1800,432,3240,72,720,156,225.23,15
