,DMU,State-Zone,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Total Labour (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Total Irrigation (Hrs.),OutputEfficiency,Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Total Labour (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Total Irrigation (Hrs.),Input Efficiency,ParetoKoopman
417.94,1,Andhra Pradesh-1,417.94,453300,69137.599,3152,72289.599,1453.15,17900.92,2096,1.53410025,0.47877,0.57453,0.49522,0.57107,0.75761,0.724,0.22933,0.54722,0.547068395
1730.939,2,Andhra Pradesh-2,1730.939,2383941,241057.988,377,241434.988,7106.62,126174.72,3505.5,1.340159503,1,1,1,1,1,1,1,1,1
614.89,3,Andhra Pradesh-3,614.89,1149810,79854.171,464,80318.171,3349.9,43143.86,2807,1.514446324,0.2311,0.90501,0,0.89978,0.72326,0.73408,0.07907,0.51033,0.510327389
636.79,4,Andhra Pradesh-4,636.79,918930,63886.135,1075,64961.135,3052.2,39466.35,460.25,1.010017274,1,1,1,1,1,1,1,1,1
820.965,5,Andhra Pradesh-5,820.965,1432400,100001.233,1039,101040.233,3230.05,55506.12,517,1.181496778,0.27238,0.96616,0,0.95623,1,0.80288,0.15458,0.59318,0.593175154
1280.09,6,Assam-1,1280.09,958411,167137.662,30037,197174.662,3959.65,7773.6,997.5,1,1,1,1,1,1,1,1,1,1
351.2,7,Assam-2,351.2,387807,43695.001,5284,48979.001,1907.9,3964.14,195,1,1,1,1,1,1,1,1,1,1
965.73,8,Bihar-1,965.73,1718194.3,147789.341,0,147789.341,1440.98,24536.99,207.9,1,1,1,0,1,1,1,1,0.85714,NA
572.04,9,Bihar-2,572.04,1295842,78455.998,38,78493.998,767.266,14952.94,30,1,1,1,1,1,1,1,1,1,1
108.08,10,Bihar-3,108.08,211326,15574.329,44,15618.329,210.85,1789.66,33,1,1,1,1,1,1,1,1,1,1
1295.93,11,Bihar-4,1295.93,2362819.5,169448.983,0,169448.983,2237.07,43037.76,46,1,1,1,0,1,1,1,1,0.85714,NA
329.6,12,Bihar-5,329.6,423500,42657.344,108,42765.344,428.4,6392.7,435,1,1,1,1,1,1,1,1,1,1
397.58,13,Chhattisgarh-1,397.58,962090,42362.337,3435.5,45797.837,1082.5,7010,678,1.108070139,1,1,1,1,1,1,1,1,1
1565.19,14,Chhattisgarh-2,1565.19,811410,148613.823,5847.75,154461.573,4124.4,48532.15,1787,1,1,1,1,1,1,1,1,1,1
274.11,15,Gujarat-1,274.11,1588940,100413.998,0,100413.998,248.75,7149.5,1680,1,1,1,0,1,1,1,1,0.85714,NA
270.12,16,Gujarat-3,270.12,568385,56104.675,752,56856.675,889.7,10035.52,1719.5,1.738254546,0.61074,0.62326,0.11768,0.61657,0.39456,0.52212,0.20782,0.44182,0.441694746
246.4,17,Gujarat-5,246.4,746660,25776.331,0,25776.331,881.24,18833.3,1460,1.17305874,0.33314,1,0,1,0.87903,0.65062,0.25829,0.58873,NA
35.04,18,Gujarat-8,35.04,119400,2515.999,0,2515.999,123.45,1389.4,72,1,1,1,0,1,1,1,1,0.85714,NA
1240.25,19,Haryana-3,1240.25,548200,145539.932,0,145539.932,4947.2,67966.735,120,1,1,1,0,1,1,1,1,0.85714,NA
