,DMU,State-Zone,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Total Labour (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Total Irrigation (Hrs.),OutputEfficiency,Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Total Labour (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Total Irrigation (Hrs.),Input Efficieny,ParetoKoopman
7.11,1,Gujarat-2,7.11,0,1087.333,0,1087.333,39,474,120,1,0,1,0,1,1,1,1,0.71429,NA
572.818,2,Gujarat-4,572.818,1600673,125662.664,23,125685.664,3058.74,30806.98,5724,1.984906837,1,1,1,1,1,1,1,1,1
71.4,3,Haryana-1,71.4,46200,8915.415,0,8915.415,217.3,3405.68,910,1.069513894,1,0.91609,0,0.91609,0.38784,0.48639,0.16682,0.55332,NA
445.5,4,Haryana-2,445.5,164000,47330.33,9,47339.33,1678,25933.46,15109,1,1,1,1,1,1,1,1,1,1
76.18,5,Karnataka-2,76.18,53500,9407.829,73,9480.829,321,3895,656,1.243387722,0.90885,0.89201,0.04488,0.88548,0.32939,0.45112,0.17481,0.52665,0.526648131
17.75,6,Maharashtra-8,17.75,34500,2542,185,2727,22,426,288,1.138663172,1,1,1,1,1,1,1,1,1
297.5,7,Uttar Pradesh-2,297.5,95640,44190.991,60,44250.991,734.95,11786.34,4657,1.009995325,1,1,1,1,1,1,1,1,1
60.74,8,Uttar Pradesh-3,60.74,118350,14888.666,6,14894.666,239.75,3554.9,826.5,2.234463135,0.34494,0.45992,0,0.45974,0.29454,0.37642,0.11239,0.29257,0.283510011
72.4,9,Uttar Pradesh-6,72.4,49700,8100.003,0,8100.003,77.49,1526,87,1,1,1,0,1,1,1,1,0.85714,NA
182.83,10,Uttar Pradesh-7,182.83,169610,40062.912,121,40183.912,357.25,9834.52,2853,1.534155909,1,1,1,1,1,1,1,1,1
131.07,11,Uttar Pradesh-8,131.07,10775,19733.765,0,19733.765,337.25,6945.64,2019.75,1,1,1,0,1,1,1,1,0.85714,NA
137.01,12,Uttarakhand-2,137.01,31300,13088.4,56,13144.4,560.25,5476.29,560,1,1,1,1,1,1,1,1,1,1
6.92,13,Uttarakhand-3,6.92,13400,840.666,4,844.666,15,347.7,27,1.132127082,1,1,1,1,1,1,1,1,1
