Year,Mth,TS,agri_cdt,WPIT,CPIAL,IIP ,RainDev
2007,Apr,22305,1941.545852,109.5,394,128.2,-7.57
2007,May,23488,1931.054926,109.5,395,136.9,-16.08
2007,Jun,29631,1941.358885,109.5,399,136.7,22.13
2007,Jul,20594,1926.283492,109.5,404,136.6,17.33
2007,Aug,20051,1908.913793,110.3,408,134.6,21.34
2007,Sep,27466,1982.068966,110.5,410,134.0,45.33
2007,Oct,34778,1960.670679,110.5,413,140.7,-26.54
2007,Nov,25839,1991.190068,110.5,414,137.9,-11.4
2007,Dec,23053,2023.941731,111.1,413,150.7,1.53
2008,Jan,23548,2031.021277,111.2,413,152.5,3.18
2008,Feb,22840,2065.134454,111.2,417,149.3,-4.9
2008,Mar,28648,2266.197531,111.2,423,161.9,13.97
2008,Apr,24644,2148.566802,111.9,429,142.3,-7.13
2008,May,28053,2133.65834,112.1,431,146.7,-19
2008,Jun,32737,2087.564808,112.8,434,148.4,29.55
2008,Jul,21654,1991.827372,112.8,442,144.3,-24.34
2008,Aug,22718,2037.38557,112.8,450,141.9,30.19
2008,Sep,28855,2141.642023,112.8,455,148.6,-1.91
2008,Oct,33205,2185.850816,112.8,459,146.2,-30.1
2008,Nov,20983,2226.674547,112.8,460,139.7,4.02
2008,Dec,17751,2323.333333,112.8,459,148.3,0.53
2009,Jan,22149,2363.5209,122,461,144.4,-3.42
2009,Feb,22625,2414.86618,122,462,138.5,-11.31
2009,Mar,28547,2742.153846,122.1,463,153.5,-13.24
2009,Apr,27039,2652.784,122.6,468,139.6,-10.85
2009,May,31113,2622.17633,122.7,475,144.3,-6.15
2009,Jun,39396,2606.569401,122.7,484,145.7,-90.56
2009,Jul,27219,2578.361934,122.7,499,146.7,14.7
2009,Aug,24434,2545.115741,122.7,508,149.4,-45.31
2009,Sep,41338,2585.541059,122.6,515,151.0,-24.47
2009,Oct,43171,2577.19084,123.2,522,149.6,-4.72
2009,Nov,27743,2581.414597,123.2,532,148.5,33.6
2009,Dec,27424,2609.437781,123.2,538,162.4,0.56
2010,Jan,35941,2667.352071,123.5,542,163.6,-7.75
2010,Feb,33776,2739.600592,123.5,538,157.5,-6.39
2010,Mar,41609,3053.066764,123.7,536,176.5,-13.98
2010,Apr,38301,2917.417027,123.5,538,157.8,2.47
2010,May,40442,2871.991373,123.9,540,156.5,15.54
2010,Jun,38356,2877.124464,124,547,156.6,-29.74
2010,Jul,31198,2811.304965,124,554,161.3,32.8
2010,Aug,29593,2802.168675,124,557,156.1,38.96
2010,Sep,42042,2830.514085,124.2,562,160.3,38.19
2010,Oct,55946,2843.974808,125,566,166.6,-2.54
2010,Nov,37044,2863.810848,125.6,570,158.0,37.93
2010,Dec,35298,2988.732877,125.6,581,175.6,11.42
2011,Jan,42838,3103.939189,128,589,175.9,-7.36
2011,Feb,42384,3105.35449,128.3,584,168.0,3.53
2011,Mar,46935,3233.886288,128.9,585,193.1,-5.19
2011,Apr,42513,3134.891519,131.4,587,166.2,4.14
2011,May,41874,3116.843832,134.8,592,166.2,-5.38
2011,Jun,48716,3114.493795,134.8,598,171.4,19.75
2011,Jul,38577,3007.905318,136,604,167.2,-25.62
2011,Aug,36407,2957.953518,136.4,610,161.4,43.8
2011,Sep,56864,2884.942382,137.2,615,164.3,21.07
2011,Oct,67886,2893.605096,137.5,619,158.3,-36.15
2011,Nov,39753,2934.104193,137.8,621,167.5,-8.05
2011,Dec,36931,3060.928163,137.8,618,180.3,-4.95
2012,Jan,42277,3078.040328,137.9,618,177.6,12.33
2012,Feb,38016,3118.769617,138,621,175.2,-10.99
2012,Mar,45396,3395.192547,138.4,625,187.6,-16.54
2012,Apr,40429,3323.834862,138.3,633,164.1,10.89
2012,May,44156,3296.38194,138.3,638,170.3,-25.8
2012,Jun,51946,3344.310868,140.7,646,168.0,-42.28
2012,Jul,38157,3288.835947,140.7,656,167.1,-17.91
2012,Aug,31106,3251.010161,140.9,666,164.7,13.36
2012,Sep,47261,3192.766588,141.2,673,163.1,20.08
2012,Oct,68370,3245.928783,141.5,680,171.6,-9.42
2012,Nov,47491,3312.873223,142.4,685,165.8,2.51
2012,Dec,34701,3375.189573,143.7,688,179.3,0
2013,Jan,39738,3358.96653,143.7,694,182.0,-3.81
2013,Feb,37996,3367.99883,143.7,700,176.2,17.15
2013,Mar,46033,3468.042328,143.7,704,194.2,-10.89
2013,Apr,55113,3509.001751,143.7,711,166.5,-7.2
2013,May,54523,3520.140023,143.7,719,166.0,3.11
2013,Jun,62716,3503.995368,143.7,729,164.9,65.31
2013,Jul,42859,3435.957811,143.7,740,171.4,31.35
2013,Aug,34482,3406.335196,143.8,754,165.4,4.23
2013,Sep,63830,3375.821804,144.3,759,167.5,-26.38
2013,Oct,88885,3426.651909,144.7,766,169.6,60.98
2013,Nov,53430,3419.53168,144.7,777,163.6,-15.7
2013,Dec,39251,3535.974388,145,765,179.5,-5.67
2014,Jan,46287,3617.290503,149,757,184.0,3.79
2014,Feb,43758,3627.270195,149.6,757,172.7,4.47
2014,Mar,48521,3712.911814,150.1,763,193.2,11.31
2014,Apr,49608,3829.705882,150.1,771,172.2,-14.57
2014,May,54583,3877.517887,150.8,777,173.8,
