date,rgnp,gdfco,gdf,gdfim,gdfcf,gdfce,ulc
1959-01-01,1606.4,36.9,37.4,26.9,32.3,23.1,47.5
1959-04-01,1637,37.4,37.5,27,32.2,23.4,47.5
1959-07-01,1629.5,37.6,37.6,27.1,32.4,23.4,48.7
1959-10-01,1643.4,37.7,37.8,27.1,32.5,23.8,48.8
1960-01-01,1671.6,37.8,37.8,27.2,32.4,23.8,49.1
1960-04-01,1666.8,38,38,27.4,32.8,23.9,49.6
1960-07-01,1668.4,38.1,38.1,27.4,32.9,24.1,50
1960-10-01,1654.1,38.2,38.2,27.2,33.2,24.2,50.2
1961-01-01,1671.3,38.2,38.2,27.2,33.2,24.2,50.1
1961-04-01,1692.1,38.3,38.2,27.2,33.2,24.2,49.8
1961-07-01,1716.3,38.4,38.3,27,33.1,23.9,49.8
1961-10-01,1754.9,38.5,38.4,27,33.1,24.1,49.5
1962-01-01,1777.9,38.5,38.4,26.8,33.1,24,50
1962-04-01,1796.4,38.7,38.5,26.6,33.3,24,50.4
1962-07-01,1813.1,38.8,38.7,26.6,33.5,24,50.1
1962-10-01,1810.1,39.8,38.8,26.6,33.7,24.3,50.1
1963-01-01,1834.6,39.9,38.9,26.7,33.9,24.2,50.4
1963-04-01,1860,39,38.9,27,33.9,24.1,49.9
1963-07-01,1892.5,39.2,39,27.2,34.1,24.1,49.9
1963-10-01,1906.1,39.3,39.2,27.5,34.2,24.1,50.4
1964-01-01,1948.7,39.5,39.3,27.6,34.5,24,50.1
1964-04-01,1965.4,39.5,39.4,27.7,34.5,24,50.3
1964-07-01,1985.2,39.6,39.6,27.7,34.6,24,50.6
1964-10-01,1993.7,39.7,39.7,27.7,34.7,24.1,50.9
1965-01-01,2036.9,39.9,39.9,27.7,34.7,24.3,50.8
1965-04-01,2066.4,40,40,27.9,35.2,24.5,50.8
1965-07-01,2099.3,40,40.1,28.1,35.5,24.5,51
1965-10-01,2147.6,40,40.2,28.6,35.7,24.6,50.9
1966-01-01,2190.1,40.2,40.5,28.6,36.5,24.7,51.6
1966-04-01,2195.8,40.5,40.9,29.1,36.8,24.7,52.6
1966-07-01,2218.3,40.8,41.2,29.2,37,24.9,53.1
1966-10-01,2229.2,41.2,41.5,29.3,37.2,25,53.7
1967-01-01,2241.8,41.4,41.7,29.4,37,25.2,54.3
1967-04-01,2255.2,41.6,41.9,29.4,37.1,25.3,54.2
1967-07-01,2287.7,41.9,42.2,29.5,37.5,25.4,54.4
1967-10-01,2300.6,42.3,42.6,29.6,37.8,25.5,54.8
1968-01-01,2327.3,42.8,43,29.8,38.1,25.6,56.1
1968-04-01,2366.9,43.3,43.5,30.1,38.5,25.6,56.4
1968-07-01,2385.3,43.7,43.8,30.2,38.9,25.7,57.2
1968-10-01,2383,44.2,44.4,30.4,39.4,25.8,58.4
1969-01-01,2416.5,44.6,44.8,30.7,39.7,26,59.3
1969-04-01,2419.8,45.1,45.3,30.9,40.3,26.4,60.4
1969-07-01,2433.2,45.6,45.8,31.3,41,26.4,61.7
1969-10-01,2423.5,45.1,46.4,32,41.8,26.6,62.9
1970-01-01,2408.6,46.6,46.8,32.4,42.7,26.5,64.6
1970-04-01,2406.5,47.1,47.1,32.9,42.9,26.9,64.9
1970-07-01,2435.8,47.6,47.3,34,43.2,27,65.1
1970-10-01,2413.8,48.3,47.8,34.5,43.4,27.5,66.1
1971-01-01,2478.6,48.9,48.3,35.3,43.4,27.7,66.1
1971-04-01,2478.4,49.4,48.7,35.3,44.1,27.6,67.1
1971-07-01,2491.1,49.8,49,35.8,44.5,28.2,67.7
1971-10-01,2491,50.1,49.3,36.1,44.9,28.5,68.5
1972-01-01,2545.6,50.6,49.9,37,45.6,28.4,69.1
1972-04-01,2595.1,51,50.1,37.6,45.9,28.5,69.3
1972-07-01,2622.1,51.4,50.4,38.1,46.5,28.9,69.9
1972-10-01,2671.3,51.7,50.9,38.7,47.3,29.4,70.1
1973-01-01,2734,52.1,51.7,39.6,49,29.9,71
