Date,Snp,Gold,Oil
2017-01-03,2257.830078,1160.400024,52.330002
2017-01-04,2270.75,1163.800049,53.259998
2017-01-05,2269,1179.699951,53.759998
2017-01-06,2276.97998,1171.900024,53.990002
2017-01-09,2268.899902,1183.5,51.959999
2017-01-10,2268.899902,1184.199951,50.82
2017-01-11,2275.320068,1195.599976,52.25
2017-01-12,2270.439941,1198.900024,53.009998
2017-01-13,2274.639893,1195.300049,52.369999
2017-01-17,2267.889893,1212,52.48
2017-01-18,2271.889893,1211.300049,51.080002
2017-01-19,2263.689941,1200.900024,51.369999
2017-01-20,2271.310059,1204.300049,52.419998
2017-01-23,2265.199951,1215,52.75
2017-01-24,2280.070068,1210.300049,53.18
2017-01-25,2298.370117,1197.300049,52.75
2017-01-26,2296.679932,1189.5,53.779999
2017-01-27,2294.689941,1188.099976,53.169998
2017-01-30,2280.899902,1193.199951,52.630001
2017-01-31,2278.870117,1208.599976,52.810001
2017-02-01,2279.550049,1205.599976,53.880001
2017-02-02,2280.850098,1216.699951,53.540001
2017-02-03,2297.419922,1218.5,53.830002
2017-02-06,2292.560059,1230,53.009998
2017-02-07,2293.080078,1234.199951,52.169998
2017-02-08,2294.669922,1237.599976,52.34
2017-02-09,2307.870117,1235.099976,53
2017-02-10,2316.100098,1234.400024,53.860001
2017-02-13,2328.25,1224.400024,52.93
2017-02-14,2337.580078,1223.900024,53.200001
2017-02-15,2349.25,1231.699951,53.110001
2017-02-16,2347.219971,1240,53.360001
2017-02-17,2351.159912,1237.599976,53.400002
2017-02-21,2365.379883,1237.5,54.060001
2017-02-22,2362.820068,1232,53.59
2017-02-23,2363.810059,1250.199951,54.450001
2017-02-24,2367.340088,1256.900024,53.990002
2017-02-27,2369.75,1257.400024,54.049999
2017-02-28,2363.639893,1252.599976,54.009998
2017-03-01,2395.959961,1248.900024,53.830002
2017-03-02,2381.919922,1231.900024,52.610001
2017-03-03,2383.120117,1225.5,53.330002
2017-03-06,2375.310059,1224.5,53.200001
2017-03-07,2368.389893,1215.099976,53.139999
2017-03-08,2362.97998,1208.5,50.279999
2017-03-09,2364.870117,1202.400024,49.279999
2017-03-10,2372.600098,1200.699951,48.490002
2017-03-13,2373.469971,1202.400024,48.400002
2017-03-14,2365.449951,1201.900024,47.720001
2017-03-15,2385.26001,1200.099976,48.860001
2017-03-16,2381.379883,1226.5,48.75
2017-03-17,2378.25,1229.800049,48.779999
2017-03-20,2373.469971,1233.599976,48.220001
2017-03-21,2344.02002,1246.099976,47.34
2017-03-22,2348.449951,1249.300049,48.040001
2017-03-23,2345.959961,1246.900024,47.700001
2017-03-24,2343.97998,1248.199951,47.970001
2017-03-27,2341.590088,1255.400024,47.73
2017-03-28,2358.570068,1255.300049,48.369999
2017-03-29,2361.129883,1253.400024,49.509998
2017-03-30,2368.060059,1245,50.349998
2017-03-31,2362.719971,1247.300049,50.599998
2017-04-03,2358.840088,1250.800049,50.240002
2017-04-04,2360.159912,1255,51.029999
2017-04-05,2352.949951,1245.400024,51.150002
2017-04-06,2357.48999,1250.300049,51.700001
2017-04-07,2355.540039,1254.300049,52.240002
2017-04-10,2357.159912,1251.099976,53.080002
2017-04-11,2353.780029,1271.199951,53.400002
2017-04-12,2344.929932,1275.300049,53.110001
2017-04-13,2328.949951,1285.900024,53.18
2017-04-17,2349.01001,1289.400024,52.650002
2017-04-18,2342.189941,1291.699951,52.41
2017-04-19,2338.169922,1281.400024,50.439999
2017-04-20,2355.840088,1281.900024,50.27
2017-04-21,2348.689941,1287.400024,49.619999
2017-04-24,2374.149902,1275.800049,49.23
2017-04-25,2388.610107,1265.599976,49.560001
2017-04-26,2387.449951,1262.099976,49.619999
2017-04-27,2388.77002,1263.699951,48.970001
2017-04-28,2384.199951,1266.099976,49.330002
2017-05-01,2388.330078,1253.300049,48.84
2017-05-02,2391.169922,1255.099976,47.66
2017-05-03,2388.129883,1246.400024,47.82
2017-05-04,2389.52002,1226.5,45.52
2017-05-05,2399.290039,1224.800049,46.220001
2017-05-08,2399.379883,1225.300049,46.43
2017-05-09,2396.919922,1214.300049,45.880001
2017-05-10,2399.629883,1217.300049,47.330002
2017-05-11,2394.439941,1222.699951,47.830002
2017-05-12,2390.899902,1226.199951,47.84
2017-05-15,2402.320068,1228.599976,48.849998
2017-05-16,2400.669922,1235,48.66
2017-05-17,2357.030029,1257.5,49.07
2017-05-18,2365.719971,1251.699951,49.349998
2017-05-19,2381.72998,1252.699951,50.330002
2017-05-22,2394.02002,1260.699951,50.73
2017-05-23,2398.419922,1254.800049,51.470001
2017-05-24,2404.389893,1252.400024,51.360001
2017-05-25,2415.070068,1255.800049,48.900002
2017-05-26,2415.820068,1267.599976,49.799999
2017-05-30,2412.909912,1262.099976,49.66
2017-05-31,2411.800049,1272,48.32
2017-06-01,2430.060059,1267,48.360001
2017-06-02,2439.070068,1276.800049,47.66
2017-06-05,2436.100098,1279.300049,47.400002
2017-06-06,2429.330078,1294.400024,48.189999
2017-06-07,2433.139893,1290.099976,45.720001
2017-06-08,2433.790039,1276.300049,45.639999
2017-06-09,2431.77002,1268.5,45.830002
2017-06-12,2429.389893,1266.099976,46.080002
2017-06-13,2440.350098,1265.800049,46.459999
2017-06-14,2437.919922,1272.800049,44.73
2017-06-15,2432.459961,1252.199951,44.459999
2017-06-16,2433.149902,1254,44.740002
2017-06-19,2453.459961,1244.199951,44.200001
2017-06-20,2437.030029,1241,43.23
2017-06-21,2435.610107,1243.400024,42.529999
2017-06-22,2434.5,1247.599976,42.740002
2017-06-23,2438.300049,1256.199951,43.009998
2017-06-26,2439.070068,1246.300049,43.380001
2017-06-27,2419.379883,1246.400024,44.240002
2017-06-28,2440.689941,1248,44.740002
2017-06-29,2419.699951,1244.199951,44.93
2017-06-30,2423.409912,1240.699951,46.040001
2017-07-03,2429.01001,1240.699951,46.040001
2017-07-05,2432.540039,1220.400024,45.130001
2017-07-06,2409.75,1222.199951,45.52
2017-07-07,2425.179932,1208.599976,44.23
2017-07-10,2427.429932,1212.099976,44.400002
2017-07-11,2425.530029,1213.599976,45.040001
2017-07-12,2443.25,1218.099976,45.490002
2017-07-13,2447.830078,1216.300049,46.080002
2017-07-14,2459.27002,1226.599976,46.540001
2017-07-17,2459.139893,1232.800049,46.02
2017-07-18,2460.610107,1241.099976,46.400002
2017-07-19,2473.830078,1241.199951,47.119999
2017-07-20,2473.449951,1244.800049,46.790001
2017-07-21,2472.540039,1254.300049,45.77
2017-07-24,2469.909912,1253.900024,46.34
2017-07-25,2477.129883,1251.699951,47.889999
2017-07-26,2477.830078,1249,48.75
2017-07-27,2475.419922,1259.599976,49.040001
2017-07-28,2472.100098,1268.400024,49.709999
2017-07-31,2470.300049,1266.599976,50.169998
2017-08-01,2476.350098,1272.599976,49.16
2017-08-02,2477.570068,1271.800049,49.59
2017-08-03,2472.159912,1267.800049,49.029999
2017-08-04,2476.830078,1258.300049,49.580002
2017-08-07,2480.909912,1258.199951,49.389999
2017-08-08,2474.919922,1256.400024,49.169998
2017-08-09,2474.02002,1273,49.560001
2017-08-10,2438.209961,1283.699951,48.59
2017-08-11,2441.320068,1287.699951,48.82
2017-08-14,2465.840088,1284.199951,47.59
2017-08-15,2464.610107,1273.699951,47.549999
2017-08-16,2468.110107,1276.900024,46.779999
2017-08-17,2430.01001,1286.400024,47.09
2017-08-18,2425.550049,1285.699951,48.509998
2017-08-21,2428.370117,1290.800049,47.369999
2017-08-22,2452.51001,1285.099976,47.639999
2017-08-23,2444.040039,1288.900024,48.41
2017-08-24,2438.969971,1286.5,47.43
2017-08-25,2443.050049,1292.5,47.869999
2017-08-28,2444.23999,1309.699951,46.57
2017-08-29,2446.300049,1313.099976,46.439999
2017-08-30,2457.590088,1308.099976,45.959999
2017-08-31,2471.649902,1316.199951,47.23
2017-09-01,2476.550049,1324.5,47.290001
2017-09-05,2457.850098,1339.199951,48.66
2017-09-06,2465.540039,1333.900024,49.16
2017-09-07,2465.100098,1345.099976,49.09
2017-09-08,2461.429932,1346,47.48
2017-09-11,2488.110107,1331,48.07
2017-09-12,2496.47998,1328,48.23
2017-09-13,2498.370117,1323.400024,49.299999
2017-09-14,2495.620117,1324.699951,49.889999
2017-09-15,2500.22998,1320.400024,49.889999
2017-09-18,2503.870117,1306.300049,49.91
