Year,Date,Sales
1990,Jan,1808037
1990,Feb,1210728
1990,Mar,1226492
1990,April,1206698
1990,May,1525025
1990,Jun,2278942
1990,Jul,2601578
1990,Aug,2480999
1990,Sep,2569598
1990,Oct,1833528
1990,Nov,1283136
1990,Dec,1408763
1991,Jan,1659648
1991,Feb,1405385
1991,Mar,1309274
1991,April,1288434
1991,May,1602418
1991,Jun,2170420
1991,Jul,2536799
1991,Aug,2593366
1991,Sep,2342711
1991,Oct,1648695
1991,Nov,1490584
1991,Dec,1529081
1992,Jan,1692971
1992,Feb,1483240
1992,Mar,1284876
1992,April,1266280
1992,May,1496147
1992,Jun,2040474
1992,Jul,2698072
1992,Aug,2438781
1992,Sep,2221979
1992,Oct,1631307
1992,Nov,1378577
1992,Dec,1554971
1993,Jan,1546850
1993,Feb,1386922
1993,Mar,1405374
1993,April,1254047
1993,May,1432947
1993,Jun,2098922
1993,Jul,2719641
1993,Aug,2872697
1993,Sep,2686773
1993,Oct,2060758
1993,Nov,1452881
1993,Dec,1512435
1994,Jan,1898523
1994,Feb,1590047
1994,Mar,1398763
1994,April,1355930
1994,May,1667891
1994,Jun,2197366
1994,Jul,2645188
1994,Aug,2471482
1994,Sep,2512507
1994,Oct,1897428
1994,Nov,1536457
1994,Dec,1457026
1995,Jan,1734308
1995,Feb,1539078
1995,Mar,1480036
1995,April,1390619
1995,May,1836123
1995,Jun,2497228
1995,Jul,2732754
1995,Aug,2740317
1995,Sep,3027070
1995,Oct,2117812
1995,Nov,1461805
1995,Dec,1559256
1996,Jan,2028915
1996,Feb,1795745
1996,Mar,1629089
1996,April,1413607
1996,May,1741832
1996,Jun,2486315
1996,Jul,2853981
1996,Aug,2847593
1996,Sep,2621013
1996,Oct,1913016
1996,Nov,1455731
1996,Dec,1523966
1997,Jan,1960339
1997,Feb,1747893
1997,Mar,1514177
1997,April,1353113
1997,May,1498864
1997,Jun,2181612
1997,Jul,2748922
1997,Aug,2973448
1997,Sep,2910674
1997,Oct,2358168
1997,Nov,1589129
1997,Dec,1665309
1998,Jan,1893506
1998,Feb,1604477
1998,Mar,1565896
1998,April,1475013
1998,May,1802757
1998,Jun,2839467
1998,Jul,3367426
1998,Aug,3260066
1998,Sep,3026810
1998,Oct,2575611
1998,Nov,1656203
1998,Dec,1641680
1999,Jan,2000014
1999,Feb,1680388
1999,Mar,1551007
1999,April,1626512
1999,May,2067969
1999,Jun,2668265
1999,Jul,2976386
1999,Aug,3199403
1999,Sep,3134294
1999,Oct,2332659
1999,Nov,1574391
1999,Dec,1614330
2000,Jan,1995872
2000,Feb,1851903
2000,Mar,1630612
2000,April,1576632
