Obs,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
1,41,3,17,12,35.9,11.9,0.5,3.77,0
2,30,1,13,8,46.7,17.88,1.35,7,0
3,40,1,15,14,61.8,10.64,3.44,3.14,0
4,41,1,15,14,72,29.67,4.17,17.2,0
5,57,1,7,37,25.6,15.86,1.5,2.56,0
6,45,1,0,13,28.1,4.28,0.92,0.28,0
7,36,1,1,3,19.6,12.82,1.21,1.3,1
8,39,1,20,9,80.5,12.32,1.85,8.06,0
9,43,1,12,11,68.7,6.82,1.43,3.26,0
10,34,3,7,12,33.8,10.71,1.42,2.2,0
11,26,1,1,2,22.2,7.27,0.58,1.03,0
12,37,2,17,10,78.3,25.44,7.09,12.83,1
13,44,1,8,15,77.8,10.55,3.61,4.6,0
14,36,2,8,1,48.1,5.28,0.74,1.8,1
15,27,2,1,8,34.7,10.21,1.88,1.67,0
16,35,1,7,13,42.8,10.99,0.99,3.71,0
17,40,1,12,7,41.2,7.01,1.27,1.61,0
18,23,1,5,3,20.6,6.99,0.32,1.12,0
19,51,1,35,7,134.7,14.75,2.86,17.01,0
20,45,2,2,26,34.8,4.98,1.23,0.51,1
21,46,2,24,16,104.5,3.26,0.04,3.36,0
22,48,2,1,11,17.4,13.44,0.24,2.1,1
23,27,1,9,2,27.3,16.43,0.03,4.46,0
24,28,1,10,9,39.9,5.6,0.55,1.69,0
25,28,1,3,6,18.1,6.06,0.18,0.91,0
26,29,1,8,6,34.5,7.47,1.05,1.53,0
27,28,1,0,0,20.4,0.99,0.08,0.13,0
28,32,4,6,12,18.7,11.7,1.06,1.13,0
29,38,2,0,9,73.9,15.62,5.47,6.07,1
30,30,1,10,4,30.7,16.78,0.46,4.69,1
31,33,2,12,8,49.3,9.35,2.26,2.35,0
32,24,1,8,3,22.3,14.29,0.12,3.06,0
33,45,1,3,15,23.9,2.18,0.13,0.39,0
34,30,1,1,10,46.7,6.45,1.19,1.82,0
35,44,1,27,17,118.6,12.75,9.78,5.34,0
36,33,2,11,4,45.7,6.4,1.63,1.29,0
37,35,1,4,0,48,2.76,0.43,0.89,0
38,26,1,6,4,21.9,10.54,1.59,0.72,1
39,50,2,10,24,50.8,3.39,0.64,1.08,0
40,34,1,0,15,23.2,6.46,0.66,0.84,0
41,21,3,0,2,30,5.42,0.25,1.37,1
42,40,2,20,20,70.5,17.16,3.94,8.15,0
43,45,1,23,5,71.4,4.26,0.81,2.23,0
44,23,1,7,2,21.8,8.2,0.51,1.28,0
45,28,2,4,7,35.8,1.89,0.12,0.55,0
46,23,1,5,2,26.8,1.65,0.1,0.34,0
47,36,2,10,1,36.4,5.38,0.28,1.67,0
48,41,2,9,10,49.2,6.88,0.47,2.92,0
49,35,1,13,15,39.9,4.56,0.5,1.32,0
50,47,1,4,2,26.6,6.64,1.08,0.69,0
51,27,1,0,5,15.2,15.53,0.89,1.47,0
52,30,1,11,5,36.9,15.58,1.94,3.81,1
53,40,2,8,20,56.1,7.47,0.28,3.91,0
54,34,1,2,11,29.1,5.58,0.76,0.86,0
55,30,1,1,10,18.8,4.21,0.17,0.63,1
56,30,2,2,9,19.7,23.1,0.33,4.22,0
57,33,3,9,4,35.2,3.67,0.29,1,0
58,37,3,1,3,25.6,3.7,0.32,0.63,0
59,40,2,3,2,62.9,9.59,1.25,4.78,1
60,37,1,1,3,25.3,8.03,0.91,1.12,1
61,42,2,8,4,38.5,5.95,0.6,1.69,0
62,32,1,16,4,38.4,14.38,1.5,4.02,0
63,30,4,5,7,38.6,24.99,3.99,5.65,0
64,49,1,5,15,47.2,6.63,1.44,1.69,0
65,22,1,3,1,16,5.33,0.25,0.6,0
66,46,1,4,20,20.8,7,0.24,1.21,0
67,31,1,11,11,25,7.44,0.87,0.99,1
68,37,1,4,0,18.7,5.45,0.42,0.6,0
69,42,1,10,18,48.3,19.9,6.82,2.79,1
70,40,1,19,14,105.6,5.93,1.33,4.93,0
71,42,4,11,4,86.7,11.55,5.1,4.92,1
72,44,1,22,23,118.7,23.3,12.28,15.38,1
73,28,2,2,3,29.4,4.08,0.34,0.86,0
74,53,1,28,32,83.4,7.2,1.87,4.13,0
75,34,2,15,14,57.6,2.89,0.48,1.19,0
76,43,2,20,7,43.7,4.73,1.05,1.02,0
77,48,1,20,2,77.9,10.25,1,6.99,0
78,28,1,10,3,20.8,27.85,0.8,4.99,0
79,41,2,4,0,34.8,5.02,0.92,0.82,0
80,38,2,6,12,121.3,9.92,5.32,6.71,0
81,35,2,14,14,46.7,9.57,1.84,2.63,0
82,39,1,23,19,55.1,5.26,1.72,1.18,0
83,29,1,11,9,27.1,7,0.84,1.06,0
84,32,1,4,3,19.7,23.84,1.45,3.25,1
85,24,1,2,1,18.7,8.73,0.29,1.34,1
86,30,2,2,3,28.4,6.7,0.26,1.64,1
87,33,1,14,2,35.4,3.68,0.04,1.26,0
88,41,4,11,7,63.3,6.61,1.97,2.21,0
89,26,4,1,1,26,10.5,0.33,2.4,0
90,40,1,3,9,34.9,10.59,3.22,0.47,1
91,31,1,11,12,36.1,10.53,1.08,2.72,0
92,40,1,2,7,23.2,7.61,0.97,0.8,1
93,40,1,8,8,39.5,11.08,2.53,1.85,0
94,26,1,4,3,24.4,5.41,0.39,0.93,0
95,40,1,10,15,40.8,17.92,3.04,4.27,0
96,32,1,1,10,19.3,2.84,0.22,0.33,0
97,32,1,14,9,50.6,4.68,0.71,1.66,0
98,48,1,21,4,50.3,5.29,0.1,2.56,0
99,55,1,19,7,117.6,1.88,0.46,1.75,0
100,25,1,6,2,28,6.47,1.08,0.73,0
101,33,1,3,14,24.1,1.96,0.17,0.3,0
102,50,2,11,31,35.2,10.66,0.98,2.77,0
103,32,2,0,6,23.2,5.81,0.38,0.97,1
104,41,3,2,0,49.9,26.33,6.53,6.61,1
105,36,1,17,6,33.3,14.96,0.7,4.28,0
106,43,2,1,1,54.2,5.9,1.45,1.74,0
107,43,1,15,9,45.3,13.43,0.64,5.44,0
108,33,2,1,4,27.4,5.6,0.67,0.86,0
109,28,3,1,6,31.8,14.46,2,2.6,1
110,24,2,3,1,21.2,8.83,0.38,1.49,1
111,44,1,9,13,32,5.78,0.48,1.37,0
112,39,1,17,4,40.9,5.84,1.18,1.2,0
113,42,2,21,11,103.6,9.66,0.24,9.77,0
114,38,4,6,13,65.3,14.94,6.18,3.58,0
115,47,2,1,18,21.7,25.27,0.91,4.57,1
116,31,3,9,9,29.1,11.22,1.18,2.09,1
117,28,1,4,7,19.2,11.17,0.96,1.19,0
118,42,3,8,6,78.6,1.35,0.18,0.88,0
119,42,2,12,17,62,10.1,1.54,4.72,0
120,45,3,2,5,28.3,7.34,0.41,1.67,0
121,32,1,16,5,83.7,6.13,0.77,4.36,0
122,25,1,0,3,19.4,17.54,1.15,2.25,1
123,43,4,20,1,167.7,2.69,0.73,3.78,0
124,33,3,3,9,27.5,3.23,0.17,0.72,0
125,36,2,4,2,38.4,14.69,0.52,5.12,1
126,28,1,1,6,28.1,6.29,0.92,0.84,0
127,40,2,15,16,39.8,11.91,0.91,3.83,0
128,41,2,17,9,83.7,5.71,1.94,2.84,0
129,25,1,1,0,16.6,8.12,0.58,0.76,1
130,38,1,12,4,27.6,10.11,1.27,1.52,0
131,39,2,9,1,74.5,11,1.43,6.76,1
132,34,4,6,3,92.3,35.34,6.78,25.83,1
133,31,1,2,4,18.6,6.85,0.62,0.65,0
134,43,3,16,11,67.7,3.42,1.14,1.18,0
135,33,2,7,7,30.1,15.51,1.37,3.3,0
136,36,1,10,12,31.6,2.14,0.31,0.37,0
137,21,3,0,0,26.3,15.23,0.97,3.03,1
138,25,1,6,6,20.1,1.61,0.1,0.22,1
139,26,1,9,4,28,19.07,2.02,3.32,0
140,39,1,19,16,47,5.82,1.04,1.69,0
141,26,4,1,7,59.5,3.46,0.42,1.64,0
142,35,1,0,3,26.4,2.31,0.31,0.3,1
143,44,2,10,1,62.3,20.58,6.69,6.13,1
144,34,3,12,14,94.7,17.41,1.48,15,0
145,39,1,17,20,51.6,7,1.08,2.54,0
146,24,1,7,2,16.7,2.42,0.08,0.32,0
147,39,1,5,2,36.6,7.37,1.47,1.23,1
148,31,3,0,3,23.8,6.87,0.16,1.47,1
149,42,1,3,18,18.5,12.43,0.71,1.59,0
150,23,3,1,3,54.2,20.74,1.2,10.04,0
151,43,1,22,15,39.3,6.75,0.77,1.88,0
152,29,2,4,3,33.4,12.62,0.59,3.62,0
153,43,1,6,8,23,3.01,0.23,0.46,0
154,28,3,3,9,29.3,8,0.56,1.78,1
155,30,1,13,8,50.6,10.57,0.67,4.68,0
156,45,4,12,25,150.4,4.48,1.45,5.29,0
157,31,1,11,8,32.1,9.18,0.18,2.76,0
158,41,1,16,17,66.5,12.52,1.28,7.04,0
159,27,1,4,8,17.8,12.17,0.22,1.95,0
160,31,2,4,6,18.5,9.42,0.5,1.24,0
161,27,4,1,3,31.2,18.33,2.27,3.45,1
162,30,4,2,8,35.1,10.02,2.49,1.03,0
163,30,1,11,1,59.1,4.12,0.03,2.41,0
164,31,1,6,1,27.2,19.71,1.59,3.77,1
165,32,2,12,1,33.3,18.19,1.02,5.04,1
166,43,1,13,23,38.4,2.78,0.16,0.91,0
167,30,1,1,5,14.9,1.04,0.03,0.12,0
168,50,2,7,0,48.8,9.98,0.56,4.32,0
169,38,2,12,4,63.9,18.77,5.77,6.22,1
170,37,1,9,18,50.3,1.4,0.54,0.16,0
171,45,1,0,18,24.6,27.12,1.77,4.9,1
172,38,1,21,5,55.4,2.18,0.21,1,0
173,29,1,10,10,29.5,9.65,0.87,1.98,0
174,24,1,5,3,18,6.27,0.03,1.1,0
175,36,1,13,16,40.8,22.65,1.66,7.58,0
176,35,2,8,11,72,2.77,0.4,1.59,0
177,31,2,2,1,27.6,2.86,0.08,0.71,1
178,32,1,8,6,28.7,4.12,0.36,0.82,0
179,35,2,1,8,18,11,0.29,1.69,1
180,40,2,13,11,78.3,19.87,5.03,10.53,1
181,22,1,4,2,22,11.6,1.69,0.86,1
182,44,1,4,15,40,6.59,1.26,1.38,0
183,41,4,14,3,44.2,1.7,0.35,0.4,0
184,34,1,16,9,32.4,26.6,3.7,4.92,0
185,34,1,1,3,24.5,9.73,0.62,1.77,1
186,31,1,4,10,24.4,6.9,0.98,0.7,0
187,30,1,0,0,18.6,4.88,0.3,0.61,1
188,32,1,14,7,27.7,7.29,0.62,1.4,0
189,36,1,12,6,64.5,7.76,1.46,3.54,0
190,42,1,9,12,30.2,2.14,0.13,0.52,0
191,37,3,3,18,40.3,9.43,0.73,3.07,0
192,25,3,0,0,19.3,17.38,0.17,3.18,0
193,28,2,7,2,20.8,7.86,0.68,0.95,0
194,32,1,4,6,29.1,16.73,1.03,3.84,0
195,41,2,3,22,38.7,10.66,0.58,3.55,0
196,25,3,2,6,46,8.33,2.61,1.22,1
197,44,1,28,8,157.7,11.93,6.45,12.36,0
198,38,1,8,7,25.2,2.52,0.33,0.31,0
199,38,1,15,3,43.3,3.07,0.51,0.82,0
200,27,1,10,6,33.3,17.08,2.91,2.78,0
201,52,1,35,15,182.7,9.21,9.41,7.42,0
202,31,4,0,10,27.8,13.52,0.29,3.47,1
203,35,2,4,8,28.2,13.3,1.2,2.55,0
204,26,1,4,3,15.9,5.05,0.42,0.38,1
205,33,2,9,4,67.6,9.33,1.84,4.47,0
206,55,1,19,2,66.6,6.88,1.36,3.22,0
207,47,1,12,24,29,10.7,0.73,2.38,0
208,27,1,10,5,34.8,8.88,0.57,2.52,0
209,38,2,8,14,36.3,1.37,0.22,0.27,0
210,22,1,3,3,14.6,7.6,0.31,0.8,0
211,24,1,6,0,15.3,5.79,0.34,0.55,0
212,23,1,6,2,22.7,17.37,1.04,2.91,1
213,25,1,4,1,20.6,12.09,0.73,1.76,1
214,28,1,1,1,17.6,18.66,0.85,2.43,0
215,22,1,0,1,17.5,8.53,0.19,1.3,1
216,50,1,8,27,20.4,11.28,0.28,2.02,0
217,31,2,6,6,50.9,7.1,0.83,2.79,1
218,42,1,19,12,35.2,6.86,0.34,2.07,0
219,41,1,5,10,42,14.15,1.46,4.49,1
220,48,4,3,23,35.4,6.34,0.89,1.35,0
221,31,2,5,8,17.1,27.29,0.53,4.14,0
222,29,3,7,1,35.3,17.23,1.73,4.35,1
223,35,1,9,1,46.1,12.86,1.18,4.75,0
224,39,1,9,9,43.6,10.2,2.42,2.03,0
225,26,2,6,6,38.1,7.34,1.34,1.46,0
226,36,1,14,11,52.4,8.23,1.22,3.09,0
227,34,2,13,4,39,1.92,0.1,0.65,0
228,40,3,16,6,224.4,12.78,8.55,20.13,1
229,32,2,7,11,22.3,22.89,1.65,3.46,0
230,50,1,19,31,43.5,16.66,3.54,3.7,0
231,46,1,22,18,73.8,8.44,1.54,4.68,0
232,36,1,1,1,17.9,14.01,0.73,1.78,0
233,33,2,1,3,35,11.32,1.97,1.99,0
234,31,2,10,6,39.5,2.59,0.28,0.74,0
235,25,3,1,1,16.1,2.03,0.12,0.2,0
236,41,2,21,22,131.7,14.51,12.36,6.75,0
237,42,2,3,17,23.4,4.67,0.22,0.87,0
238,45,1,26,23,74.9,8.04,1.74,4.28,0
