Date,FTD
Jan-98,245706
Feb-98,222089
Mar-98,215534
Apr-98,174204
May-98,137868
Jun-98,140810
Jul-98,175322
Aug-98,173095
Sep-98,160369
Oct-98,203903
Nov-98,239919
Dec-98,269810
Jan-99,253125
Feb-99,241881
Mar-99,227151
Apr-99,165627
May-99,140168
Jun-99,153225
Jul-99,189045
Aug-99,184808
Sep-99,169200
Oct-99,219442
Nov-99,260752
Dec-99,277504
Jan-00,253666
Feb-00,257403
Mar-00,234606
Apr-00,188132
May-00,139575
Jun-00,161613
Jul-00,212949
Aug-00,186843
Sep-00,180070
Oct-00,230978
Nov-00,290201
Dec-00,313342
Jan-01,283750
Feb-01,262306
Mar-01,248965
Apr-01,185338
May-01,151098
Jun-01,176716
Jul-01,224432
Aug-01,196517
Sep-01,162326
Oct-01,181605
Nov-01,209685
Dec-01,254544
Jan-02,228150
Feb-02,241133
Mar-02,216839
Apr-02,159789
May-02,144571
Jun-02,134566
Jul-02,178231
Aug-02,162594
Sep-02,163089
Oct-02,213267
Nov-02,245661
Dec-02,296474
Jan-03,274215
Feb-03,262692
Mar-03,218473
Apr-03,160941
May-03,141508
Jun-03,176324
Jul-03,225359
Aug-03,204940
Sep-03,191339
Oct-03,260569
Nov-03,290583
Dec-03,319271
Jan-04,337345
Feb-04,331697
Mar-04,293185
Apr-04,223884
May-04,185502
Jun-04,223122
Jul-04,272456
Aug-04,253301
Sep-04,226773
Oct-04,307447
Nov-04,385238
Dec-04,417527
Jan-05,385977
Feb-05,369844
Mar-05,352094
Apr-05,248416
May-05,225394
Jun-05,246970
Jul-05,307870
Aug-05,273856
Sep-05,257184
Oct-05,347757
Nov-05,423837
Dec-05,479411
Jan-06,459489
Feb-06,439090
Mar-06,391009
Apr-06,309208
May-06,255008
Jun-06,278370
Jul-06,337332
Aug-06,304387
Sep-06,297891
Oct-06,391399
Nov-06,442413
Dec-06,541571
Jan-07,514453
Feb-07,462578
Mar-07,443976
Apr-07,334558
May-07,271454
Jun-07,310104
