Week,SearchVolume
4/6/2014,4655
4/13/2014,3990
4/20/2014,3030
4/27/2014,4064
5/4/2014,3769
5/11/2014,3769
5/18/2014,4104
5/25/2014,3937
6/1/2014,4023
6/8/2014,4321
6/15/2014,2011
6/22/2014,2235
6/29/2014,1490
7/6/2014,2405
7/13/2014,2405
7/20/2014,1627
7/27/2014,2263
8/3/2014,2057
8/10/2014,1210
8/17/2014,1634
8/24/2014,1815
8/31/2014,484
9/7/2014,1664
9/14/2014,438
9/21/2014,3416
9/28/2014,1752
10/5/2014,1553
10/12/2014,1471
10/19/2014,2452
10/26/2014,2534
11/2/2014,1893
11/9/2014,1242
11/16/2014,1538
11/23/2014,1242
11/30/2014,1124
12/7/2014,1975
12/14/2014,1144
12/21/2014,1560
12/28/2014,1871
1/4/2015,1972
1/11/2015,1661
1/18/2015,1557
1/25/2015,1350
2/1/2015,2300
2/8/2015,2062
2/15/2015,2221
2/22/2015,1666
3/1/2015,1399
3/8/2015,2199
3/15/2015,3532
3/22/2015,4198
3/29/2015,3732
4/5/2015,4303
4/12/2015,4809
4/19/2015,4050
4/26/2015,4978
5/3/2015,3158
5/10/2015,4361
5/17/2015,3158
5/24/2015,4361
5/31/2015,2030
6/7/2015,4091
6/14/2015,3462
6/21/2015,2308
6/28/2015,1679
7/5/2015,2786
7/12/2015,1821
7/19/2015,2786
7/26/2015,2357
8/2/2015,1694
8/9/2015,1775
8/16/2015,2501
8/23/2015,1371
8/30/2015,1129
9/6/2015,1880
9/13/2015,2612
9/20/2015,2194
9/27/2015,2194
10/4/2015,1954
10/11/2015,2714
10/18/2015,2605
10/25/2015,1737
11/1/2015,1425
11/8/2015,1346
11/15/2015,1188
11/22/2015,1742
11/29/2015,1029
12/6/2015,2267
12/13/2015,1183
12/20/2015,1774
12/27/2015,1676
1/3/2016,1083
1/10/2016,1667
1/17/2016,2000
1/24/2016,1417
1/31/2016,1333
2/7/2016,1820
2/14/2016,2234
2/21/2016,3144
2/28/2016,2482
3/6/2016,4703
3/13/2016,4396
3/20/2016,3476
3/27/2016,4294
4/3/2016,6255
4/10/2016,6686
4/17/2016,7225
4/24/2016,5823
5/1/2016,5781
5/8/2016,4691
5/15/2016,3163
5/22/2016,3927
5/29/2016,3818
6/5/2016,4817
6/12/2016,4269
6/19/2016,3613
6/26/2016,3941
7/3/2016,3090
7/10/2016,2771
7/17/2016,2771
7/24/2016,2771
7/31/2016,1918
8/7/2016,3873
8/14/2016,2003
8/21/2016,2537
8/28/2016,2537
9/4/2016,2849
9/11/2016,2612
9/18/2016,2731
9/25/2016,2968
10/2/2016,2574
10/9/2016,2574
10/16/2016,2126
10/23/2016,2015
10/30/2016,1791
11/6/2016,2165
11/13/2016,2044
11/20/2016,2886
11/27/2016,2405
12/4/2016,3696
12/11/2016,2244
12/18/2016,2244
12/25/2016,2376
1/1/2017,3027
1/8/2017,2212
1/15/2017,2910
1/22/2017,2677
1/29/2017,2794
2/5/2017,3605
2/12/2017,4884
2/19/2017,5465
2/26/2017,6396
3/5/2017,7417
3/12/2017,6663
3/19/2017,9177
3/26/2017,11063
4/2/2017,10677
4/9/2017,10250
4/16/2017,10463
4/23/2017,9930
4/30/2017,6940
