Hour,MW
1,21333
2,20985
3,20491
4,20839
5,22779
6,26005
7,26831
8,26669
9,25593
10,25260
11,25255
12,25564
13,25190
14,24564
15,23826
16,23984
17,24740
18,27088
19,27900
20,27397
21,26590
22,24635
23,22524
24,21826
25,21159
26,20905
27,21159
28,21097
29,22866
30,25737
31,26700
32,26056
33,25540
34,25902
35,25598
36,25179
37,24942
38,24846
39,24586
40,24919
41,24774
42,25870
43,28511
44,27180
45,26563
46,25294
47,23459
48,22309
49,21717
50,21252
51,21191
52,21138
53,22853
54,24845
55,25611
56,26151
57,25129
58,25107
59,24292
60,24151
61,25228
62,23914
63,23583
64,24114
65,23814
66,25486
67,27714
68,26802
69,25250
70,24012
71,22033
72,21032
73,20474
74,19820
75,19810
76,20232
77,22293
78,25134
79,26049
80,25933
81,24872
82,24892
83,24373
84,24143
85,23696
86,23530
87,24265
88,23829
89,23728
90,26063
91,27272
92,26858
93,25162
94,23193
95,21505
96,20226
97,19781
98,19261
99,19041
100,22037
101,21382
102,24291
103,26028
104,25382
105,24537
106,24449
107,23684
108,23567
109,24287
110,23082
111,24093
112,24038
113,23708
114,26086
115,27565
116,27314
117,25946
118,24110
119,21989
120,21528
121,20254
122,19949
123,19578
124,19643
125,21740
126,24847
127,26171
128,25720
129,24676
130,23696
131,23753
132,23723
133,23894
134,22969
135,23918
136,23909
137,23125
138,24936
139,27878
140,27470
141,26475
142,24304
143,22566
144,21524
145,20611
146,20435
147,20224
148,20398
149,22540
150,25386
151,26725
152,25879
153,24911
154,24821
155,23927
156,23707
157,23562
158,23192
159,23412
160,24078
161,24074
162,26335
163,28625
164,28626
165,27148
166,24511
167,23297
168,21908
169,21312
170,20669
171,20396
172,20915
173,23155
174,25804
175,26525
176,25401
177,24882
178,24944
179,24530
180,24196
181,24359
182,23080
183,23358
184,23210
185,24387
186,26208
187,28628
188,28375
189,27042
190,23488
191,23346
192,21900
193,21223
194,21165
195,20958
196,21269
197,23540
198,25555
199,26397
200,26363
201,25376
202,25712
203,24959
204,25116
205,25141
206,24335
207,24429
208,23911
209,24494
210,27406
211,29381
212,28300
213,27121
214,25290
215,24450
216,23115
217,21509
218,20830
219,20815
220,21341
221,23022
222,25134
223,26329
224,25940
225,25432
226,24692
227,25023
228,24671
229,25192
230,23853
231,23084
232,23321
233,23946
234,25494
235,27358
236,26670
237,24878
238,22410
239,21254
240,20949
241,19574
242,19576
243,19508
244,19596
245,21423
246,24280
247,25741
248,25146
249,24168
250,23426
251,23549
252,23859
253,23251
254,23026
255,22827
256,23575
257,23571
258,25932
259,27838
260,26634
261,26091
262,24208
263,22565
264,21253
265,20752
266,20644
267,20740
268,21216
269,22928
270,25915
271,27240
272,25868
273,25442
274,25183
275,25076
276,24702
277,24787
278,23892
279,23918
280,23521
281,23517
282,27120
283,28832
284,27943
285,27108
286,25172
287,22144
288,22243
289,21515
290,21169
291,21173
292,21160
293,23319
294,25958
295,27610
296,26543
297,26116
298,25436
299,25521
300,25275
301,25710
302,24891
303,25272
304,24780
305,24339
306,27222
307,29282
308,27940
309,27314
310,25074
311,23477
312,22015
313,21340
314,20926
315,21042
316,21298
317,23423
318,26114
319,27539
320,27511
321,26502
322,26509
323,25286
324,24989
325,25384
326,24785
327,25120
328,24520
329,24237
330,25991
331,28480
332,28276
333,27070
334,24681
335,22456
336,22233
337,21189
338,20845
339,20945
340,21064
341,23273
342,26007
343,28319
344,27271
345,26275
346,25807
347,25544
348,24869
349,25152
350,24670
351,25028
352,24288
353,24205
354,27840
355,28472
356,28292
357,27422
358,25416
359,22553
360,22088
361,21809
362,21097
363,21324
364,21383
365,23729
366,26615
367,28040
368,27079
369,26208
370,26103
371,25823
372,25277
373,24636
374,24688
375,24584
376,23925
377,23784
378,26454
379,28139
380,28300
381,26707
382,25504
383,23082
384,21493
385,21982
386,21766
387,21410
388,21543
389,23740
390,25411
391,26712
392,26781
393,25698
394,25491
395,25253
396,24876
397,24965
398,24559
399,22651
400,22582
401,23149
402,24756
403,26429
404,26656
405,25927
406,24223
407,22501
408,21827
409,20843
410,20794
411,20344
412,21517
413,23628
414,26503
415,28062
416,26843
417,26194
418,25781
419,24889
420,24394
421,25007
422,24182
423,24451
424,24191
425,23728
426,26705
427,27824
428,28237
429,26702
430,25191
431,23199
432,22505
433,21579
434,21334
435,21144
436,21385
437,23810
438,26850
439,27703
440,26971
441,25753
442,25350
443,25007
444,24316
445,24309
446,23568
447,24588
448,23825
449,24332
450,26815
451,28090
452,27712
453,26992
454,24728
455,22950
456,21555
457,22055
458,21417
459,21607
460,21426
461,24586
462,26249
463,26831
464,26677
465,25581
466,26545
467,25873
468,25591
469,24537
470,24286
471,24124
472,24370
473,23965
474,27051
475,28603
476,28177
477,27150
478,24651
479,23078
480,21710
481,21695
482,21321
483,21594
484,21258
485,23538
486,25399
487,26400
488,25388
489,25459
490,26123
491,25477
492,24804
493,24746
494,24105
495,24474
496,24299
497,24203
498,26541
499,28780
500,28198
501,27152
502,25024
503,22700
504,22315
505,21642
506,21465
507,21289
508,21544
509,23989
510,26435
511,27471
512,26523
513,25787
514,25262
515,26043
516,24813
517,24459
518,24216
519,24509
520,24812
521,25137
522,26468
523,28882
524,27743
525,26853
526,24564
527,22793
528,22487
529,22112
530,21743
531,22091
532,22075
533,24270
534,26257
535,26642
536,25936
537,24762
538,25572
539,25385
540,24301
541,24392
542,24101
543,23785
544,23988
545,24306
546,26975
547,28941
548,28168
549,26868
550,25148
551,23216
552,22912
553,22395
554,22008
555,21929
556,22076
557,24662
558,26185
559,26673
560,26982
561,25670
562,25438
563,25532
564,25150
565,24861
566,24356
567,23592
568,23528
569,23506
570,24779
571,28696
572,28720
573,27391
574,24395
575,22397
576,22109
577,21456
578,21415
579,21273
580,21448
581,23349
582,25745
583,27211
584,26440
585,26760
586,26826
587,26144
588,25713
589,25769
590,25474
591,25176
592,24907
593,24628
594,27019
595,28810
596,28227
597,27346
598,24707
599,22822
600,22632
601,21757
602,21737
603,21558
604,21643
605,23001
606,25930
607,27291
608,26152
609,26433
610,25632
611,25297
612,24754
613,24680
614,23826
615,24292
616,23570
617,23141
618,25472
619,27384
620,27193
621,25092
622,23532
623,22324
624,21346
625,20101
626,19749
627,20100
628,19922
629,21969
630,24209
631,25877
632,25986
633,25482
634,25600
635,25744
636,25109
637,25099
638,23551
639,24483
640,24795
641,24637
642,26515
643,28457
644,28430
645,27519
646,24814
647,23825
648,23389
649,21512
650,21490
651,21302
652,21436
653,22344
654,26224
655,28066
656,27163
657,25813
658,26951
659,25864
660,25073
661,25106
662,25146
663,24701
664,24153
665,24589
666,26563
667,28822
668,28305
669,27815
670,25545
671,23857
672,22392
673,22005
674,21720
675,21915
676,21774
677,23508
678,26256
679,27099
680,27093
681,25860
682,26599
683,26698
684,25278
685,25980
686,25577
687,25374
688,25343
689,26307
690,27060
691,29270
692,28582
693,27776
694,25887
695,23796
696,23604
697,21863
698,21695
699,21690
700,21291
701,23204
702,25413
703,27420
704,26968
705,26389
706,26110
707,26006
708,25754
709,25467
710,24904
711,25296
712,24974
713,25093
714,27269
715,29014
716,28500
717,27832
718,25559
719,23815
720,22666
721,22263
722,21582
723,21247
724,21559
725,22942
726,24951
727,26591
728,27023
729,25449
730,26052
731,24809
732,24920
733,24906
734,24540
735,23742
736,23414
737,23660
738,25623
739,27804
740,27692
741,26448
