Date,Price
1/1/2020,8823.73
1/2/2020,8823.47
1/3/2020,8823.33
1/4/2020,8823.33
1/5/2020,8823.07
1/6/2020,9373.33
1/7/2020,9346.4
1/8/2020,9343.53
1/9/2020,9350.4
1/10/2020,9382.5
1/11/2020,9499.94
1/12/2020,9650.12
1/13/2020,9650.14
1/14/2020,9650.16
1/15/2020,9650.16
1/16/2020,9650.17
1/17/2020,9650.19
1/18/2020,9499.57
1/19/2020,9700.05
1/20/2020,9700.42
1/21/2020,9700.42
1/22/2020,9700.42
1/23/2020,9388.03
1/24/2020,8688.57
1/25/2020,8833.87
1/26/2020,8833.6
1/27/2020,8830.2
1/28/2020,8830.13
1/29/2020,8829.87
1/30/2020,9380
1/31/2020,9346.53
2/1/2020,9336.93
2/2/2020,9347.07
2/3/2020,9364.23
2/4/2020,9699.57
2/5/2020,9699.57
2/6/2020,9699.59
2/7/2020,9699.6
2/8/2020,9699.36
2/9/2020,9699.37
2/10/2020,9699.4
2/11/2020,9699.64
2/12/2020,10050.44
2/13/2020,10050.43
2/14/2020,10050.43
2/15/2020,10050.42
2/16/2020,9388.1
2/17/2020,8688.57
2/18/2020,8746.97
2/19/2020,8746.93
2/20/2020,8746.8
2/21/2020,8746.77
2/22/2020,8746.7
2/23/2020,9300
2/24/2020,7683
2/25/2020,7750.39
2/26/2020,9199.15
2/27/2020,9699.05
2/28/2020,9699.73
2/29/2020,9699.72
3/1/2020,9699.72
3/2/2020,9699.72
3/3/2020,9699.75
3/4/2020,9699.78
3/5/2020,9699.8
3/6/2020,9699.91
3/7/2020,10001.65
3/8/2020,10050.1
3/9/2020,10050.1
3/10/2020,9900.68
3/11/2020,9500.09
3/12/2020,9300.21
3/13/2020,8585.7
3/14/2020,8585.63
3/15/2020,8585.37
3/16/2020,8585.3
3/17/2020,8585.17
3/18/2020,8591.77
3/19/2020,8558.1
3/20/2020,8561.83
3/21/2020,8568.57
3/22/2020,8597.5
3/23/2020,9597.03
3/24/2020,9699.02
3/25/2020,9699.02
3/26/2020,9699.02
3/27/2020,9699.17
3/28/2020,9699.22
3/29/2020,9699.24
3/30/2020,9699.38
3/31/2020,10102.61
4/1/2020,10102.45
4/2/2020,10102.45
4/3/2020,10102.28
4/4/2020,9348.57
4/5/2020,9299.9
4/6/2020,7100.97
4/7/2020,7100.97
4/8/2020,7100.97
4/9/2020,7100.97
4/10/2020,7100.97
4/11/2020,9500.06
4/12/2020,7343.04
4/13/2020,9500.08
4/14/2020,9500.22
4/15/2020,9500.6
4/16/2020,9700.69
4/17/2020,10053.42
4/18/2020,10053.42
4/19/2020,10053.42
4/20/2020,10105.08
4/21/2020,10105.08
4/22/2020,10105.08
4/23/2020,10105.16
4/24/2020,10105.06
4/25/2020,10105.06
4/26/2020,9867.52
4/27/2020,9867.52
4/28/2020,9398.24
4/29/2020,9381.57
4/30/2020,8592.01
5/1/2020,8592.01
5/2/2020,8592.01
5/3/2020,8592.01
5/4/2020,8592.01
5/5/2020,9500
5/6/2020,8584.67
5/7/2020,9199.88
5/8/2020,9500.48
5/9/2020,9500.97
5/10/2020,9984.48
5/11/2020,9991.15
5/12/2020,9991.15
5/13/2020,9991.15
5/14/2020,9994.48
5/15/2020,9994.48
5/16/2020,9994.48
5/17/2020,9977.81
5/18/2020,10150.11
5/19/2020,10150.01
5/20/2020,9993.81
5/21/2020,9993.81
5/22/2020,9133.71
5/23/2020,9107.2
5/24/2020,6475.22
5/25/2020,6475.22
5/26/2020,6475.22
5/27/2020,6475.22
5/28/2020,6475.22
5/29/2020,6491.88
5/30/2020,6425.22
5/31/2020,6487.72
6/1/2020,6471.05
6/2/2020,6826.34
6/3/2020,6826.34
6/4/2020,6826.34
6/5/2020,6826.34
6/6/2020,6826.34
6/7/2020,7413.94
6/8/2020,7413.94
6/9/2020,7413.94
6/10/2020,8938.6
6/11/2020,8938.6
6/12/2020,9500.39
6/13/2020,9500.72
6/14/2020,9500.55
6/15/2020,9500.05
6/16/2020,6494.3
6/17/2020,6969.38
6/18/2020,6969.22
6/19/2020,6969.05
6/20/2020,6968.55
6/21/2020,6968.22
6/22/2020,6966.88
6/23/2020,6908.55
6/24/2020,6971.05
6/25/2020,9009.43
6/26/2020,9500.29
6/27/2020,9500.14
6/28/2020,9500.14
6/29/2020,9500.31
6/30/2020,9500.31
7/1/2020,9500.47
7/2/2020,9500.51
7/3/2020,9500.51
7/4/2020,9500.04
7/5/2020,9900.77
7/6/2020,10155.31
7/7/2020,10155.18
7/8/2020,10155.18
7/9/2020,9500.07
7/10/2020,6848.82
7/11/2020,6972.7
7/12/2020,6971.7
7/13/2020,6971.53
7/14/2020,6971.03
7/15/2020,6971.37
7/16/2020,6971.03
7/17/2020,6995.87
7/18/2020,9500.51
7/19/2020,9537.85
7/20/2020,9650.19
7/21/2020,9900.56
7/22/2020,9900.55
7/23/2020,9900.57
7/24/2020,9900.57
7/25/2020,9900.59
7/26/2020,9900.59
7/27/2020,9900.64
7/28/2020,9542.7
7/29/2020,9900.5
7/30/2020,10200.4
7/31/2020,10200.4
8/1/2020,10200.44
8/2/2020,9512.22
8/3/2020,8188.33
8/4/2020,3997.89
8/5/2020,3997.89
8/6/2020,3997.89
8/7/2020,3997.89
8/8/2020,3997.89
8/9/2020,3997.89
8/10/2020,8999.3
8/11/2020,9500.71
8/12/2020,9500.07
8/13/2020,9650.11
8/14/2020,10172.95
8/15/2020,10180.15
8/16/2020,10180.15
8/17/2020,10180.15
8/18/2020,10180.75
8/19/2020,10180.75
8/20/2020,10182.25
8/21/2020,10210.58
8/22/2020,10300.18
8/23/2020,10210.58
8/24/2020,10210.58
8/25/2020,10210.56
8/26/2020,8900.66
8/27/2020,8900.52
8/28/2020,6000.14
8/29/2020,5250.79
8/30/2020,5250.79
8/31/2020,5250.79
9/1/2020,5250.8
9/2/2020,5250.84
9/3/2020,5868.24
9/4/2020,8999.11
9/5/2020,6999.91
9/6/2020,9499.96
9/7/2020,10177.83
9/8/2020,10186.23
9/9/2020,10190.6
9/10/2020,10190.6
9/11/2020,10191.3
9/12/2020,10191.3
9/13/2020,10193.05
9/14/2020,10195.89
9/15/2020,10400.26
9/16/2020,10400.58
9/17/2020,10400.58
9/18/2020,10400.56
9/19/2020,10400.58
9/20/2020,9100.5
9/21/2020,4998.72
9/22/2020,4998.44
9/23/2020,4998.44
9/24/2020,4998.9
9/25/2020,4998.9
9/26/2020,4998.9
9/27/2020,4998.9
9/28/2020,6799.66
9/29/2020,6799.65
9/30/2020,7812.14
10/1/2020,9499.18
10/2/2020,9499.68
10/3/2020,10320.15
10/4/2020,10320.15
10/5/2020,10320.22
10/6/2020,9499.82
10/7/2020,9499.85
10/8/2020,9510.8
10/9/2020,10650.06
10/10/2020,10650.05
10/11/2020,10650.05
10/12/2020,10650.4
10/13/2020,10500.82
10/14/2020,8750.91
10/15/2020,4864.1
10/16/2020,4850
10/17/2020,4850
10/18/2020,4850
10/19/2020,4898.5
10/20/2020,4898.5
10/21/2020,7540.2
10/22/2020,7666.2
10/23/2020,7561.2
10/24/2020,7579.2
10/25/2020,9025.32
10/26/2020,9142.2
10/27/2020,9167.2
10/28/2020,9167.2
10/29/2020,9171.2
10/30/2020,9108.72
10/31/2020,9084.12
11/1/2020,9223.32
11/2/2020,9299.37
11/3/2020,10300.45
11/4/2020,10300.43
11/5/2020,9153.12
11/6/2020,7611.2
11/7/2020,7713.2
11/8/2020,3030
11/9/2020,3030
11/10/2020,3030
11/11/2020,3030
11/12/2020,3030
11/13/2020,3030
11/14/2020,5650.44
11/15/2020,5639.44
11/16/2020,5639.44
11/17/2020,5499.74
11/18/2020,5499.74
11/19/2020,5499.74
11/20/2020,5499.74
11/21/2020,5499.74
11/22/2020,5499.76
11/23/2020,5499.76
11/24/2020,5499.76
11/25/2020,6999.48
11/26/2020,6999.51
11/27/2020,6935.54
11/28/2020,6935.54
11/29/2020,6935.54
11/30/2020,6930.54
12/1/2020,3030
12/2/2020,6076.37
12/3/2020,6076.37
12/4/2020,6076.37
12/5/2020,8300.08
12/6/2020,8300.75
12/7/2020,8300.78
12/8/2020,8999.14
12/9/2020,8999.64
12/10/2020,9300.45
12/11/2020,9300.29
12/12/2020,9760.62
12/13/2020,9760.62
12/14/2020,9760.62
12/15/2020,9760.62
12/16/2020,9760.62
12/17/2020,9760.62
12/18/2020,9760.64
12/19/2020,10300.26
12/20/2020,10510.91
12/21/2020,10600.62
12/22/2020,10600.6
12/23/2020,10600.58
12/24/2020,9900.25
12/25/2020,6075.7
12/26/2020,4999.97
12/27/2020,4999.97
12/28/2020,4999.97
12/29/2020,4999.97
12/30/2020,5999.01
12/31/2020,5999.73
1/1/2021,5999.66
1/2/2021,9650.37
1/3/2021,9650.38
1/4/2021,9650.86
1/5/2021,10200.84
1/6/2021,10200.86
1/7/2021,10200.86
1/8/2021,10200.86
1/9/2021,10200.88
1/10/2021,10200.88
1/11/2021,10200.9
1/12/2021,10200.53
1/13/2021,10400.36
1/14/2021,10650.04
1/15/2021,10650.03
1/16/2021,10400.83
1/17/2021,10400.53
1/18/2021,7600.53
1/19/2021,7300.5
1/20/2021,7300.5
1/21/2021,7300.47
1/22/2021,7300.46
1/23/2021,7599.71
1/24/2021,7599.62
1/25/2021,7599.22
1/26/2021,9650.15
1/27/2021,9649.53
1/28/2021,9000.84
1/29/2021,9000.58
1/30/2021,9000.6
1/31/2021,8499.4
2/1/2021,8499.15
2/2/2021,8499.18
2/3/2021,8499.19
2/4/2021,8499.35
2/5/2021,10199.45
2/6/2021,10399.86
2/7/2021,10750.89
2/8/2021,10750.89
2/9/2021,10450.77
2/10/2021,11000.27
2/11/2021,8500.52
2/12/2021,7500.33
2/13/2021,7399.32
2/14/2021,7399.02
2/15/2021,7599.24
2/16/2021,7599.26
2/17/2021,7500.96
2/18/2021,7199.8
2/19/2021,8999.34
2/20/2021,8499.7
2/21/2021,8499.98
2/22/2021,8999.19
2/23/2021,8999.74
2/24/2021,8999.74
2/25/2021,8999.74
2/26/2021,8999.76
2/27/2021,8999.76
2/28/2021,8933.6
3/1/2021,8999.81
3/2/2021,10901.98
3/3/2021,11000.5
3/4/2021,11000.37
3/5/2021,11000.36
3/6/2021,11000.25
3/7/2021,8499.01
3/8/2021,5999.91
3/9/2021,5999.91
3/10/2021,5999.91
3/11/2021,6000.52
3/12/2021,6000.55
3/13/2021,5999.82
3/14/2021,7250.81
3/15/2021,8499.07
3/16/2021,8499.08
3/17/2021,8499.12
3/18/2021,8999.13
3/19/2021,8999.13
3/20/2021,8999.13
3/21/2021,8999.13
3/22/2021,8999.01
3/23/2021,8999.02
3/24/2021,8999.03
3/25/2021,8999.08
3/26/2021,10901.11
3/27/2021,10999.64
3/28/2021,10999.13
3/29/2021,10999.04
3/30/2021,9404.52
3/31/2021,7999.4
4/1/2021,5250.16
