Date,Headlines,URLs
2018/01/01/,BusinessLine twenty years ago today: Poll schedule announced ,https://www.thehindubusinessline.com/opinion/columns/businessline-twenty-years-ago-today-poll-schedule-announced/article10007580.ece
2018/01/01/,All you wanted to know about MPS rule ,https://www.thehindubusinessline.com/opinion/columns/all-you-wanted-to-know-about-mps-rule/article10007585.ece
2018/01/01/,Why we should worry about the fall in bank credit ,https://www.thehindubusinessline.com/opinion/columns/why-we-should-worry-about-the-fall-in-bank-credit/article10007583.ece
2018/01/01/,"Maruti, Hyundai saw record sales in 2017 ",https://www.thehindubusinessline.com/companies/maruti-hyundai-saw-record-sales-in-2017/article10007645.ece
2018/01/01/,2018 expected to be better for steel industry: Tata Steel CEO ,https://www.thehindubusinessline.com/companies/2018-expected-to-be-better-for-steel-industry-tata-steel-ceo/article10007661.ece
2018/01/01/,"PFC consortium to lend Rs.11,067 crore to Neyveli UP project ",https://www.thehindubusinessline.com/companies/pfc-consortium-to-lend-11067-crore-to-neyveli-up-project/article10007624.ece
2018/01/01/,Singareni Collieries shipments up 9% in April-Dec ,https://www.thehindubusinessline.com/companies/singareni-collieries-shipments-up-9-in-aprildec/article10007621.ece
2018/01/01/,NTPC's Kudgi thermal power project ,https://www.thehindubusinessline.com/companies/ntpcs-kudgi-thermal-power-project/article10007631.ece
2018/01/01/,JSW Energy drops plan to buy Jaiprakash's Bina power plant ,https://www.thehindubusinessline.com/companies/jsw-energy-drops-plan-to-buy-jaiprakashs-bina-power-plant/article10007627.ece
2018/01/01/,Prestige Group acquires CapitaLand's stake in SPVs for Rs.342 crore ,https://www.thehindubusinessline.com/companies/prestige-group-acquires-capitalands-stake-in-spvs-for-342-crore/article10007628.ece
2018/01/01/,Luminous upbeat on growth prospects in solar sector ,https://www.thehindubusinessline.com/companies/luminous-upbeat-on-growth-prospects-in-solar-sector/article22384896.ece
2018/01/01/,"Maruti in driving seat with highest-ever sales of cars, UVs ",https://www.thehindubusinessline.com/companies/maruti-in-driving-seat-with-highestever-sales-of-cars-uvs/article10007601.ece
2018/01/01/,Ramraj Cotton kicks off 'dhoti' campaign ,https://www.thehindubusinessline.com/companies/ramraj-cotton-kicks-off-dhoti-campaign/article10007625.ece
2018/01/01/,Vizag Steel Plant has made impressive strides: CMD ,https://www.thehindubusinessline.com/companies/vizag-steel-plant-has-made-impressive-strides-cmd/article10007616.ece
2018/01/01/,'Access to finance has scripted automotive sector's growth' ,https://www.thehindubusinessline.com/companies/access-to-finance-has-scripted-automotive-sectors-growth/article10007595.ece
2018/01/01/,Fashion e-tailer FabAlley to sustain profits with offline stores ,https://www.thehindubusinessline.com/companies/fashion-etailer-faballey-to-sustain-profits-with-offline-stores/article10007597.ece
2018/01/01/,"Lingerie retailers cash in on demand for size, fit and style ",https://www.thehindubusinessline.com/companies/lingerie-retailers-cash-in-on-demand-for-size-fit-and-style/article10007599.ece
2018/01/01/,MBD Group to check into budget hotels space ,https://www.thehindubusinessline.com/companies/mbd-group-to-check-into-budget-hotels-space/article10007594.ece
2018/01/01/,"L&T wins Rs.2,100 cr contracts from HPCL, Reliance Industries ",https://www.thehindubusinessline.com/companies/lampt-wins-2100-cr-contracts-from-hpcl-reliance-industries/article10007544.ece
2018/01/01/,RINL has made strides in trying market conditions: CMD ,https://www.thehindubusinessline.com/companies/rinl-has-made-strides-in-trying-market-conditions-cmd/article10007533.ece
2018/01/01/,TVS Motor sales grew 39% in December ,https://www.thehindubusinessline.com/companies/tvs-motor-sales-grew-39-in-december/article10007492.ece
2018/01/01/,VE Commercial Vehicles sales jump 49.5% ,https://www.thehindubusinessline.com/companies/ve-commercial-vehicles-sales-jump-495/article10007440.ece
2018/01/01/,"PFC consortium to lend Rs 11,067 cr for Neyveli Uttar Pradesh project ",https://www.thehindubusinessline.com/companies/pfc-consortium-to-lend-rs-11067-cr-for-neyveli-uttar-pradesh-project/article10007434.ece
2018/01/01/,"L&T Hydrocarbon bags orders worth Rs 2,100 cr ",https://www.thehindubusinessline.com/companies/lampt-hydrocarbon-bags-orders-worth-rs-2100-cr/article10007424.ece
2018/01/01/,"Escorts' tractor sales jump 13.1%, ",https://www.thehindubusinessline.com/companies/escorts-tractor-sales-jump-131/article10007395.ece
2018/01/01/,"M&M sales up 8% at 39,200 units in December ",https://www.thehindubusinessline.com/companies/mampm-sales-up-8-at-39200-units-in-december/article10007383.ece
2018/01/01/,Singareni Collieries sees strong 3 quarters with coal transport up 9 pc at 46.7 MT ,https://www.thehindubusinessline.com/companies/singareni-collieries-sees-strong-3-quarters-with-coal-transport-up-9-pc-at-467-mt/article10007368.ece
2018/01/01/,Vivimed Labs gets additional $7.5 mn funding from OrbiMed Asia ,https://www.thehindubusinessline.com/companies/vivimed-labs-gets-additional-75-mn-funding-from-orbimed-asia/article10007333.ece
2018/01/01/,"Hyundai sales up 10% to 62,899 units in December ",https://www.thehindubusinessline.com/companies/hyundai-sales-up-10-to-62899-units-in-december/article10007217.ece
2018/01/01/,"Maruti December sales up 10.3% to over 1,30,000 units ",https://www.thehindubusinessline.com/companies/maruti-december-sales-up-103-to-over-130000-units/article10007210.ece
2018/01/01/,The hero arrives ,https://www.thehindubusinessline.com/opinion/editorial/the-hero-arrives/article10007578.ece
2018/01/01/,Plan for the long-term ,https://www.thehindubusinessline.com/opinion/letters/plan-for-the-longterm/article10007577.ece
2018/01/01/,Agriculture market reforms are a must ,https://www.thehindubusinessline.com/opinion/agriculture-market-reforms-are-a-must/article10007561.ece
2018/01/01/,"Gold prices flat at Rs 30,400; silver jumps to Rs 40,100 ",https://www.thehindubusinessline.com/markets/gold/gold-prices-flat-at-rs-30400-silver-jumps-to-rs-40100/article10007339.ece
