CM,FLR,PGNP,TFR,RAND,FILTER
12,79,4430,1.69,0.272971779,1
12,81,4240,1.8,0.062169935,1
55,55,290,2.36,0.264836323,1
28,95,4370,2.86,0.818274092,0
52,83,270,3.25,0.853563059,0
37,88,1730,3.46,0.871369436,0
24,93,1730,3.5,0.957924094,0
61,88,670,3.52,0.905612534,0
96,76,2050,3.81,0.823680602,0
115,62,1470,3.89,0.453668107,1
41,66,1620,3.91,0.486084437,1
75,87,1180,3.93,0.082867071,1
135,65,430,4.1,0.442101233,1
47,85,3630,4.1,0.680941499,1
77,88,2090,4.2,0.134879553,1
94,77,1160,4.21,0.897135255,0
83,85,690,4.74,0.888796951,0
167,29,240,4.75,0.836283377,0
67,85,1300,4.82,0.640463112,1
121,41,1310,4.88,0.850273091,0
96,80,1270,5,0.635140318,1
143,78,930,5,0.30346464,1
189,35,270,5.05,0.521825583,1
98,69,660,5.21,0.465702438,1
27,63,19830,5.23,0.014181132,1
148,30,580,5.27,0.474851598,1
142,22,900,5.43,0.550809932,1
103,35,780,5.66,0.234839533,1
152,84,420,5.79,0.186026004,1
240,29,300,5.89,0.395202301,1
241,11,120,5.89,0.231747778,1
129,55,900,5.99,0.087519396,1
168,28,410,6.09,0.48990303,1
178,45,220,6.09,0.647171068,1
118,47,1080,6.12,0.484585684,1
204,22,130,6.15,0.654464363,1
126,58,560,6.16,0.289112949,1
170,45,670,6.19,0.777516234,0
269,17,290,6.19,0.229054285,1
197,65,570,6.25,0.627118216,1
215,12,140,6.25,0.746267963,1
209,26,200,6.44,0.29660678,1
161,43,420,6.5,0.709465474,1
224,23,530,6.5,0.556819783,1
262,22,230,6.5,0.578730633,1
240,19,450,6.5,0.68762459,1
312,21,280,6.5,0.530873196,1
104,62,350,6.6,0.33832625,1
128,37,1870,6.66,0.748586992,1
107,87,3020,6.66,0.587983537,1
312,11,190,6.7,0.909902217,0
186,45,300,6.9,0.709145546,1
202,16,310,7,0.490985194,1
287,31,230,7,0.98092249,0
182,19,300,7,0.302349317,1
246,9,330,7.1,0.689325183,1
191,31,1010,7.1,0.761304284,0
142,50,8640,7.17,0.327846474,1
79,43,1340,7.17,0.699435514,1
142,67,560,7.2,0.795777588,0
72,63,1420,7.28,0.46898149,1
165,31,1150,7.41,0.213007158,1
128,49,420,8.12,0.205783076,1
223,33,200,8.49,0.396698728,1
