Year ,ER,MS,WPI,FER
1997M04,35.81,713850,130.9,81076
1997M05,35.81,719693,130.8,86377
1997M06,35.81,729578,131.4,90983
1997M07,35.74,732552,131.6,92882
1997M08,35.92,733887,132,95935
1997M09,36.43,751473,132.9,92982
1997M10,36.23,758851,133.4,95499
1997M11,37.24,766529,133.1,94044
1997M12,39.22,770918,133.7,93978
1998M01,39.38,779523,134.8,95146
1998M02,38.89,791148,134.2,94531
1998M03,39.5,820299,134.4,102507
1998M04,39.66,841708,136.9,104224
1998M05,40.47,849175,138.2,106096
1998M06,42.24,855797,139.8,101831
1998M07,42.51,858120,140.9,102100
1998M08,42.76,878437,140.6,106103
1998M09,42.52,895421,140.8,111377
1998M10,42.33,909614,142,112621
1998M11,42.38,915036,142.6,113269
1998M12,42.55,923698,142.1,114693
1999M01,42.51,939534,140.9,116515
1999M02,42.47,948170,141.4,118062
1999M03,42.45,981020,141.6,125412
1999M04,42.73,990235,142.4,126794
1999M05,42.77,1000908,142.8,131153
1999M06,43.14,1010682,143.3,132505
1999M07,43.29,1025844,143.7,133161
1999M08,43.46,1032303,144.6,133054
1999M09,43.53,1048173,145.3,132946
1999M10,43.45,1060087,146.9,132770
1999M11,43.4,1067992,147,135948
1999M12,43.49,1091920,146.1,139134
2000M01,43.55,1091130,145.9,139389
2000M02,43.61,1111251,146.4,143018
2000M03,43.59,1123933,149.5,152924
2000M04,43.64,1148952,151.7,152779
2000M05,43.98,1156555,151.8,153322
2000M06,44.69,1177156,152.7,150901
2000M07,44.78,1175274,153.1,149811
2000M08,45.68,1180671,153.4,150163
2000M09,45.89,1191270,154.7,150195
2000M10,46.34,1218726,157.9,150184
2000M11,46.78,1245656,158.2,169962
2000M12,46.75,1272412,158.5,174207
2001M01,46.54,1266798,158.6,178032
2001M02,46.52,1290763,158.6,181294
2001M03,46.62,1311583,159.1,184482
2001M04,46.78,1348863,159.9,186601
2001M05,46.92,1365976,160.3,188762
2001M06,47,1380763,160.8,191226
2001M07,47.14,1383256,161.1,193122
2001M08,47.13,1393392,161.7,200561
2001M09,47.64,1407217,161.7,200762
2001M10,48.02,1424666,162.5,202957
2001M11,47.99,1442039,162.3,211269
2001M12,47.92,1449799,161.8,218021
2002M01,48.33,1459730,161,226195
2002M02,48.69,1473556,160.8,232892
2002M03,48.74,1500003,161.9,249118
2002M04,48.92,1542186,162.3,255166
2002M05,49,1605201,162.8,259319
2002M06,48.97,1609476,164.7,267333
2002M07,48.76,1621860,165.6,276033
2002M08,48.59,1632710,167.1,282683
2002M09,48.44,1638568,167.4,288648
2002M10,48.37,1658599,167.5,296389
2002M11,48.25,1679870,167.8,307098
2002M12,48.14,1682943,167.2,321774
2003M01,47.93,1697454,167.8,334065
2003M02,47.73,1713810,169.4,329627
2003M03,47.64,1718742,171.6,341476
2003M04,47.38,1770558,173.1,351589
2003M05,47.08,1784717,173.4,366516
2003M06,46.71,1802324,173.5,365001
2003M07,46.23,1806665,173.4,373499
2003M08,45.93,1819454,173.7,378829
2003M09,45.85,1831608,175.6,399870
2003M10,45.39,1864886,176.1,401872
2003M11,45.52,1874932,176.9,423328
2003M12,45.59,1896318,176.8,445232
2004M01,45.46,1922696,178.7,456635
2004M02,45.27,1959412,179.8,471018
2004M03,45.02,2005676,179.8,466215
2004M04,43.93,2060153,180.9,501429
2004M05,45.25,2060166,182.1,519847
2004M06,45.51,2075507,185.2,524865
2004M07,46.04,2083368,186.6,524732
2004M08,46.34,2104000,188.4,522333
2004M09,46.1,2092506,189.4,526605
2004M10,45.78,2133922,188.9,525632
2004M11,45.13,2134846,190.2,547377
2004M12,43.98,2145964,188.8,545466
2005M01,43.75,2193202,188.6,540246
2005M02,43.68,2218219,188.8,567725
2005M03,43.69,2251449,189.4,593121
2005M04,43.74,2332667,191.6,593423
2005M05,43.49,2347098,192.1,580749
2005M06,43.58,2360115,193.2,575864
2005M07,43.54,2375747,194.6,585319
2005M08,43.62,2402095,195.3,608225
2005M09,43.92,2483979,197.2,602309
2005M10,44.82,2490443,197.8,619299
2005M11,45.73,2504890,198.2,627455
2005M12,45.64,2527675,197.2,590497
2006M01,44.4,2536208,196.3,589526
2006M02,44.33,2579949,196.4,603925
2006M03,44.48,2729547,196.8,647327
2006M04,44.95,2772382,199,690730
2006M05,45.41,2779281,201.3,724648
2006M06,46.06,2784956,203.1,718701
2006M07,46.46,2836479,204,731354
2006M08,46.45,2879043,205.3,739857
2006M09,46.01,2953356,207.8,727733
2006M10,45.36,2946329,208.7,723332
2006M11,44.73,2993258,209.1,750168
2006M12,44.48,3016308,208.4,752738
2007M01,44.21,3076009,208.8,764501
2007M02,44.02,3147634,208.9,829533
2007M03,43.8,3310278,209.8,836597
2007M04,42.02,3321799,211.5,812995
2007M05,40.57,3327409,212.3,817440
2007M06,40.17,3386473,212.3,839913
2007M07,40.27,3453868,213.6,888680
2007M08,40.68,3480541,213.8,907301
2007M09,40.17,3583494,215.1,953581
2007M10,39.37,3609745,215.2,1008271
2007M11,39.33,3676287,215.9,1050165
2007M12,39.38,3702794,216.4,1050485
2008M01,39.27,3807105,218.1,1117080
2008M02,39.67,3865642,219.9,1162671
2008M03,40.15,4002189,225.5,1196023
