Date,IIP,WPI,Repo,Rev_Repo,CMR,NIFTY,USDINR
31-07-2020,118.1,120.6,4,3.35,3.472412,11073.45,74.8125
30-06-2020,108.9,119.3,4,3.35,3.567759,10302.1,75.5087
29-05-2020,89.5,117.5,4,3.35,3.832754,9580.3,75.6175
30-04-2020,54,119.2,4.4,3.75,4.158159,9859.9,75.1
31-03-2020,117.2,120.4,4.4,4,4.941187,8597.75,75.5425
28-02-2020,134.2,122.2,5.15,4.9,4.975424,11201.75,72.1763
31-01-2020,137.4,123.4,5.15,4.9,4.959298,11962.1,71.3525
31-12-2019,134.5,123,5.15,4.9,5.048363,12168.45,71.3788
29-11-2019,128.8,122.3,5.15,4.9,5.042538,12056.05,71.7375
31-10-2019,124,122,5.15,4.9,5.087301,11877.45,70.9275
30-09-2019,122.9,121.3,5.4,5.15,5.335785,11474.45,70.8675
30-08-2019,126.2,121.5,5.4,5.15,5.377929,11023.25,71.405
31-07-2019,131.8,121.3,5.75,5.5,5.618841,11118,68.8
28-06-2019,129.3,121.5,5.75,5.5,5.772225,11788.85,69.0275
31-05-2019,135.4,121.6,6,5.75,5.941061,11922.8,69.6975
30-04-2019,126.5,121.1,6,5.75,6.088066,11748.15,69.5563
29-03-2019,144.1,119.9,6.25,6,6.242347,11623.9,69.1488
28-02-2019,127.6,119.5,6.25,6,6.302309,10792.5,70.745
31-01-2019,134.4,119.2,6.5,6.25,6.389768,10830.95,71.085
31-12-2018,133.9,119.7,6.5,6.25,6.466643,10862.55,69.7712
30-11-2018,126.1,121.6,6.5,6.25,6.402221,10876.75,69.5837
31-10-2018,132.8,122,6.5,6.25,6.447845,10386.6,73.955
28-09-2018,128.8,120.9,6.5,6.25,6.462313,10930.45,72.49
31-08-2018,128,120.1,6.5,6.25,6.356159,11680.5,70.9962
31-07-2018,125.7,119.9,6.25,6,6.161175,11356.5,68.5475
29-06-2018,127.7,119.1,6.25,6,6.10112,10714.3,68.47
31-05-2018,129.6,118.3,6,5.75,5.912088,10736.15,67.3963
30-04-2018,122.6,117.3,6,5.75,5.902226,10739.35,66.6613
30-03-2018,140.3,116.3,6,5.75,5.949956,10113.7,65.1775
28-02-2018,127.4,116.1,6,5.75,5.925538,10492.85,65.1775
31-01-2018,132.3,116,6,5.75,5.884641,11027.7,63.5863
29-12-2017,130.6,115.7,6,5.75,5.914176,10530.7,63.8713
