Dates,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
30-09-2020,3.806,3.823,4.034,4.518,4.941,5.313,5.637,5.912,6.108,6.26,6.379,6.474,6.735,6.922,6.785
31-08-2020,3.747,3.766,3.948,4.479,4.948,5.362,5.718,6.011,6.221,6.374,6.481,6.557,6.732,6.831,6.81
31-07-2020,3.601,3.602,3.78,4.216,4.61,4.96,5.269,5.544,5.742,5.92,6.071,6.202,6.554,6.6,6.415
30-06-2020,3.695,3.692,3.828,4.258,4.658,5.025,5.362,5.676,5.901,6.093,6.247,6.366,6.689,6.775,6.641
29-05-2020,3.879,3.855,3.946,4.365,4.759,5.123,5.456,5.75,5.961,6.123,6.243,6.337,6.631,6.895,6.482
30-04-2020,3.713,3.82,4.075,4.513,4.926,5.302,5.645,5.952,6.171,6.359,6.512,6.629,6.851,6.961,6.625
31-03-2020,4.575,4.613,4.805,5.16,5.495,5.801,6.075,6.311,6.48,6.598,6.679,6.733,6.785,6.466,6.782
28-02-2020,5.253,5.194,5.186,5.406,5.641,5.865,6.071,6.268,6.407,6.523,6.603,6.664,6.781,6.733,6.645
31-01-2020,5.393,5.381,5.525,5.837,6.097,6.314,6.494,6.656,6.771,6.863,6.928,6.981,7.126,7.175,7.056
31-12-2019,5.514,5.529,5.661,5.962,6.212,6.411,6.573,6.713,6.813,6.884,6.931,6.964,7.058,7.201,7.095
29-11-2019,5.166,5.211,5.33,5.622,5.884,6.118,6.324,6.525,6.667,6.799,6.903,6.985,7.163,7.239,7.122
31-10-2019,5.221,5.315,5.43,5.707,5.957,6.182,6.378,6.566,6.701,6.825,6.923,7.001,7.155,7.191,7.137
30-09-2019,5.53,5.569,5.669,5.883,6.09,6.289,6.466,6.64,6.764,6.866,6.937,6.99,7.14,7.296,6.962
30-08-2019,5.681,5.617,5.684,5.86,6.03,6.198,6.349,6.503,6.612,6.706,6.774,6.831,6.923,7.006,6.755
31-07-2019,5.794,5.762,5.854,5.995,6.13,6.262,6.382,6.499,6.582,6.655,6.706,6.744,6.774,6.722,6.734
28-06-2019,6.04,6.034,6.11,6.29,6.461,6.614,6.74,6.846,6.92,6.97,6.997,7.011,7.008,7.006,6.93
31-05-2019,6.178,6.17,6.235,6.408,6.57,6.723,6.856,6.981,7.07,7.142,7.19,7.228,7.305,7.259,7.316
30-04-2019,6.443,6.395,6.492,6.697,6.884,7.05,7.187,7.31,7.398,7.47,7.52,7.56,7.675,7.609,7.496
29-03-2019,6.454,6.377,6.423,6.555,6.692,6.832,6.972,7.133,7.247,7.368,7.468,7.551,7.697,7.736,7.446
28-02-2019,6.438,6.322,6.418,6.621,6.802,6.971,7.128,7.286,7.4,7.506,7.594,7.67,7.84,7.792,7.651
31-01-2019,6.924,6.753,6.711,6.854,6.993,7.115,7.223,7.323,7.395,7.463,7.518,7.559,7.619,7.588,7.64
31-12-2018,6.899,6.815,6.811,6.903,6.997,7.079,7.15,7.216,7.263,7.313,7.36,7.403,7.542,7.558,7.481
30-11-2018,7.023,7.045,7.079,7.164,7.251,7.325,7.39,7.453,7.498,7.547,7.591,7.628,7.725,7.771,7.744
31-10-2018,7.357,7.413,7.394,7.479,7.562,7.634,7.697,7.757,7.8,7.842,7.879,7.91,8.111,8.242,8.203
28-09-2018,7.55,7.553,7.588,7.724,7.837,7.916,7.969,8.005,8.03,8.05,8.063,8.071,8.149,8.211,7.985
31-08-2018,7.349,7.343,7.397,7.572,7.722,7.829,7.902,7.947,7.979,8.001,8.016,8.027,8.109,8.171,8.011
31-07-2018,7.108,7.049,7.217,7.408,7.573,7.698,7.792,7.86,7.908,7.939,7.955,7.96,7.977,8.029,7.907
29-06-2018,7.03,7.017,7.155,7.409,7.619,7.78,7.891,7.954,7.999,8.02,8.025,8.021,8.025,8.025,7.934
