Date,Date2,oil,ex,sensex
3-Mar-08,39510,102.42,40.26,16677.88
4-Mar-08,39511,99.72,40.29,16339.89
5-Mar-08,39512,104.45,40.29,16542.08
6-Mar-08,39513,105.51,40.29,16542.08
7-Mar-08,39514,105.12,40.53,15975.52
10-Mar-08,39517,107.9,40.67,15923.72
11-Mar-08,39518,108.73,40.47,16123.15
12-Mar-08,39519,109.86,40.36,16127.98
13-Mar-08,39520,110.21,40.44,15357.35
14-Mar-08,39521,110.03,40.45,15760.52
17-Mar-08,39524,105.74,40.77,14809.49
18-Mar-08,39525,109.57,40.62,14833.46
19-Mar-08,39526,103.25,40.45,14994.83
20-Mar-08,39527,102.57,40.45,14994.83
21-Mar-08,39528,102.57,40.45,14994.83
24-Mar-08,39531,101.7,40.34,15289.4
25-Mar-08,39532,101.78,40.12,16217.49
26-Mar-08,39533,105.83,40.14,16086.83
27-Mar-08,39534,107.56,40.15,16015.56
28-Mar-08,39535,105.59,40.1,16371.29
31-Mar-08,39538,101.54,39.97,15644.44
1-Apr-08,39539,100.92,39.97,15626.62
2-Apr-08,39540,104.83,39.98,15750.4
3-Apr-08,39541,103.92,39.95,15832.55
4-Apr-08,39542,106.09,39.97,15343.12
7-Apr-08,39545,108.91,39.93,15757.08
8-Apr-08,39546,108.54,40.02,15587.62
9-Apr-08,39547,110.89,40.02,15790.51
10-Apr-08,39548,110.07,39.95,15695.1
11-Apr-08,39549,110.14,39.94,15807.64
14-Apr-08,39552,111.71,39.94,15807.64
15-Apr-08,39553,113.77,39.96,16153.66
16-Apr-08,39554,114.8,39.96,16244.19
17-Apr-08,39555,114.8,39.96,16481.2
18-Apr-08,39556,116.56,39.96,16481.2
21-Apr-08,39559,117.48,39.89,16739.33
22-Apr-08,39560,119.17,39.94,16783.87
23-Apr-08,39561,119.28,39.95,16698.04
24-Apr-08,39562,117.1,40.04,16721.08
25-Apr-08,39563,119.64,40.18,17125.98
28-Apr-08,39566,118.78,40.14,17015.96
29-Apr-08,39567,115.67,40.22,17378.46
30-Apr-08,39568,113.7,40.46,17287.31
1-May-08,39569,112.6,40.46,17287.31
2-May-08,39570,116.36,40.65,17600.12
5-May-08,39573,119.94,40.55,17490.9
6-May-08,39574,121.82,40.69,17373.01
7-May-08,39575,123.56,41.2,17339.31
8-May-08,39576,123.77,41.79,17080.65
9-May-08,39577,125.94,41.38,16737.07
12-May-08,39580,124.02,41.68,16860.9
13-May-08,39581,125.83,42.16,16752.86
14-May-08,39582,124.21,42.33,16978.35
15-May-08,39583,124.25,42.4,17353.54
16-May-08,39584,126.5,42.64,17434.94
19-May-08,39587,127.15,42.64,17230.18
20-May-08,39588,128.93,42.67,17230.18
21-May-08,39589,132.99,42.72,17243.16
22-May-08,39590,130.04,43.15,16907.11
23-May-08,39591,131.58,42.84,16649.64
26-May-08,39594,131.58,42.56,16348.5
27-May-08,39595,128.81,42.89,16275.59
28-May-08,39596,131,42.85,16525.37
29-May-08,39597,126.7,42.77,16316.26
30-May-08,39598,127.35,42.59,16415.57
2-Jun-08,39601,127.75,42.24,16063.18
3-Jun-08,39602,124.33,42.53,15962.56
4-Jun-08,39603,122.3,42.63,15514.79
5-Jun-08,39604,127.93,42.86,15769.72
6-Jun-08,39605,138.51,42.79,15572.18
9-Jun-08,39608,134.44,42.89,15066.1
10-Jun-08,39609,131.38,42.89,14889.25
11-Jun-08,39610,136.43,42.89,15185.32
12-Jun-08,39611,136.91,42.81,15250.2
13-Jun-08,39612,134.84,42.87,15189.62
16-Jun-08,39615,134.52,42.9,15395.82
17-Jun-08,39616,133.99,42.92,15696.9
18-Jun-08,39617,136.54,42.9,15422.31
19-Jun-08,39618,131.88,42.93,15087.99
20-Jun-08,39619,134.78,42.97,14571.29
23-Jun-08,39622,135.98,42.97,14293.32
24-Jun-08,39623,136.49,42.94,14106.58
25-Jun-08,39624,133.92,42.82,14220.07
26-Jun-08,39625,138.91,42.73,14421.82
27-Jun-08,39626,139.69,42.79,13802.22
30-Jun-08,39629,139.96,42.95,13461.6
1-Jul-08,39630,141.06,43.27,12961.68
2-Jul-08,39631,143.74,43.34,13664.62
3-Jul-08,39632,145.31,43.3,13094.11
4-Jul-08,39633,145.31,43.21,13454
7-Jul-08,39636,141.38,43.12,13525.99
8-Jul-08,39637,136.06,43.37,13349.65
9-Jul-08,39638,135.88,43.13,13964.26
10-Jul-08,39639,141.47,43.16,13926.24
11-Jul-08,39640,144.96,42.72,13469.85
14-Jul-08,39643,145.16,42.82,13330.51
15-Jul-08,39644,138.68,43.17,12676.19
16-Jul-08,39645,134.63,43.17,12575.8
17-Jul-08,39646,129.43,42.94,13111.85
18-Jul-08,39647,128.94,42.78,13635.4
21-Jul-08,39650,131.43,42.71,13850.04
22-Jul-08,39651,127.25,42.71,14104.2
23-Jul-08,39652,123.73,42.33,14942.28
24-Jul-08,39653,124.62,41.96,14777.01
25-Jul-08,39654,122.59,42.23,14274.94
28-Jul-08,39657,124.72,42.3,14349.11
29-Jul-08,39658,122.21,42.54,13791.54
30-Jul-08,39659,126.74,42.47,14287.21
31-Jul-08,39660,124.17,42.49,14355.75
1-Aug-08,39661,125.03,42.37,14656.69
4-Aug-08,39664,121.45,42.4,14577.87
5-Aug-08,39665,118.71,42.28,14961.07
6-Aug-08,39666,118.57,42,15073.54
7-Aug-08,39667,119.84,41.89,15117.25
8-Aug-08,39668,115.42,42.2,15167.82
11-Aug-08,39671,114.44,42,15503.92
12-Aug-08,39672,113.1,42.4,15212.13
13-Aug-08,39673,115.96,42.67,15093.12
14-Aug-08,39674,115.05,42.82,14724.18
15-Aug-08,39675,113.46,42.82,14724.18
18-Aug-08,39678,112.92,43.23,14645.66
19-Aug-08,39679,114.39,43.23,14543.73
20-Aug-08,39680,115.48,43.72,14678.23
21-Aug-08,39681,121.23,43.58,14243.73
22-Aug-08,39682,114.48,43.38,14401.49
25-Aug-08,39685,114.85,43.58,14450.35
26-Aug-08,39686,116.31,44.07,14482.22
27-Aug-08,39687,118.17,43.73,14296.79
28-Aug-08,39688,115.58,43.73,14048.34
29-Aug-08,39689,115.55,43.79,14564.53
1-Sep-08,39692,115.55,44.21,14498.51
2-Sep-08,39693,109.63,44.26,15049.86
3-Sep-08,39694,109.38,44.26,15049.86
4-Sep-08,39695,107.99,44.45,14899.1
5-Sep-08,39696,106.47,44.37,14483.83
8-Sep-08,39699,106.35,44.26,14944.97
9-Sep-08,39700,103.23,44.89,14900.76
10-Sep-08,39701,102.66,45.12,14662.61
11-Sep-08,39702,100.95,45.44,14324.29
12-Sep-08,39703,101.19,45.77,14000.81
15-Sep-08,39706,95.52,45.94,13531.27
16-Sep-08,39707,91.49,46.63,13518.8
17-Sep-08,39708,97.39,46.34,13262.9
18-Sep-08,39709,97.5,46.71,13315.6
19-Sep-08,39710,104.05,46.32,14042.32
22-Sep-08,39713,122.61,45.4,13994.96
23-Sep-08,39714,107.85,45.72,13570.31
24-Sep-08,39715,106.84,45.83,13692.52
25-Sep-08,39716,111.54,46.25,13547.18
26-Sep-08,39717,106.77,46.43,13102.18
29-Sep-08,39720,96.29,46.94,12595.75
30-Sep-08,39721,100.7,46.94,12860.43
1-Oct-08,39722,98.23,46.96,13055.67
