"Title","Review"
"Terrific","Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. Nice displayAwesome processorSuperb cameraTotally Value for money..."
"Perfect product!","Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it...."
"Must buy!","It is really an awesome phone. Excellent camera clarity, super fast charing."
"Great product","Must buyy...Awesome phone love it..."
"Simply awesome","#Wow"
"Super!","Awesome Camara"
"Brilliant","Super"
"Super!","Awesome phone"
"Must buy!","Thnxxxx flipkart...."
"Very Good","Average mobile,"
"Terrific","Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. Nice displayAwesome processorSuperb cameraTotally Value for money..."
"Perfect product!","Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it...."
"Must buy!","It is really an awesome phone. Excellent camera clarity, super fast charing."
"Great product","Must buyy...Awesome phone love it..."
"Simply awesome","#Wow"
"Super!","Awesome Camara"
"Brilliant","Super"
"Super!","Awesome phone"
"Must buy!","Thnxxxx flipkart...."
"Very Good","Average mobile,"
"Just wow!","Very good, and beautiful colour"
"Slightly disappointed","Phone get heated very fast.. when its become heat it shows delay in process. But it have a good camera quality.. even it is 48pixel cam it doesn't feel a over weight.. not at all bad but it is not at all good  as said it in the promotion..."
"Terrific purchase","Thanks flipkart for delivered to fast"
"Worth every penny","Good"
"Good","Not worth for money.Just ok"
"Terrific","Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. Nice displayAwesome processorSuperb cameraTotally Value for money..."
"Perfect product!","Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it...."
"Must buy!","It is really an awesome phone. Excellent camera clarity, super fast charing."
"Terrific purchase","I m not use android phone I used iphone last 10 years but i change my mind and buy this note 9pro really amazing phone nice HD display, camera, Battery, and processer all over is worth it thanks Redmi"
"Terrific","Awsome"
"Value-for-money","Best mobile for all time. Thanks flipkart"
"Great product","Best phone"
"Good quality product","The camera , battery, phone look is awesomeGreat phone in this price"
"Super!","Every thing osm.. amazing set made by MI"
"Good quality product","Very excellent features and performances.."
